bwb9_08292019pm,JH_Lup_arg_CIN23_23-2_792025_14,JH_Lup_arg_CIN23_23-14redo_7102025_05,mar1_08282019,Lupinus_brc_20_1_8122021_11
11.170020061364173,0,0,1.386509996965508,0
157.82405618564903,0,0,54.17901220537764,0
567.5503329772484,0,269.3963452053549,26.174648271473053,0
6.379711891837216,0,0,0,0
15.992835227081155,0,0,0,0
0.3644876670901087,0,10.835686571002023,0,0
24.195396001213798,0,0,0,0
1.5909470348728258,0,0,1.2084703316921923,0
2.5735872842808223,0,0,2.0852143988824343,0.5923951004276052
5.884682873643503,0,2.9817373379444283,0,0
4.561447371411687,0,0,0,0
16.454006372433327,0,0,0,0
0,0,0,2.5340591403959363,0
0,0,0,12.487810695241826,0
23.515905795879835,0,0,2.1587376513031455,0
17.235675159669977,0,0,0.7264586221787849,0
0,0,11.934658171348746,0,0
13.59174489169716,0,0,0,0
11.307049523841973,0,31.35268914291555,0,0
0,58.61570895585955,156.79181076338608,3.1628307126186135,0
105.05384248453977,0,28.094107224995316,0,0
0.8056676313901047,0,0,1.2011472129947771,0
41.58105340195701,0,46.458129577089956,0,0
3.702081807185812,0,0,0,0
0.1659419360050945,0,0,1.1955347086582742,0
0,0,71.11303043389321,3.168306930017956,0
7.507181631208065,0,0,0,0
0,0,0,0,16.9704935348132
0,0,0,8.69068467946643,0
134.75638426549006,0,0,0,0
0,51.1939896761444,0,0,0
0,25.275456140649755,0,0,2.9144278437452087
20.285992947068944,0,0,25.675548135402646,0
0,0,7.586918005417469,0,3.977256852757287
0,108.42796299766606,0,2.058782943491371,8.738913780473261
0,0,0,0,6.08329784153052
0,0,12.092795447963338,0,0
0,0,11.240089268982436,0,0
0,126.27096713742993,0,0,0
6.216934460586533,0,18.503885031579248,0,0
0,0,0,0.6313565818838481,0
68.27240493670023,0,0,9.21512830420256,0
5.237482720253548,0,0,1.7195286422333862,36.21732020634546
