sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,FileName,user,FullName,id,desorb.Start.diff,rowSum,nameBlank,Mixup,kBlank,Cluster
2017-08-25T07:22:12Z,2017-08-25T19:54:14Z,2017-08-25T20:01:18Z,2017-08-25T19:54:14Z,Desorbed NA,10,10,NA,10,NA,424,LupineR1Aug20_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/LupineR1Aug20_08252017.qgd,bf3978ae-d01b-4a56-bb25-1051fc9841b9,2247,309655604,FALSE,FALSE,FALSE,4
2017-08-25T07:22:12Z,NA,NA,NA,NA NA,11,11,NA,11,NA,NA,NA,NA,NA,bf3978ae-d01b-4a56-bb25-1051fc9841b9,NA,NA,NA,NA,NA,NA
2017-08-25T14:26:21Z,NA,NA,NA,Leak-test failure High Pressure Leak Failure,2,1,NA,1,NA,NA,NA,NA,NA,5566bfb7-2c2e-4e15-a0a6-628b8e21f7bb,NA,NA,NA,NA,NA,NA
2017-08-25T14:26:21Z,2017-08-25T21:54:01Z,2017-08-25T22:00:31Z,2017-08-25T21:54:01Z,Desorbed NA,3,2,NA,2,NA,390,LupineR2Aug20redo_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/LupineR2Aug20redo_08252017.qgd,5566bfb7-2c2e-4e15-a0a6-628b8e21f7bb,NA,262082968,FALSE,FALSE,FALSE,4
2017-08-25T14:26:21Z,2017-08-25T22:31:35Z,2017-08-25T22:38:41Z,2017-08-25T22:31:35Z,Desorbed NA,4,3,NA,3,NA,426,LupineR3Aug20_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/LupineR3Aug20_08252017.qgd,5566bfb7-2c2e-4e15-a0a6-628b8e21f7bb,2254,255559175,FALSE,FALSE,FALSE,4
2017-08-25T14:26:21Z,2017-08-25T23:10:07Z,2017-08-25T23:17:10Z,2017-08-25T23:10:07Z,Desorbed NA,5,4,NA,4,NA,423,LupineR4Aug20_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/LupineR4Aug20_08252017.qgd,5566bfb7-2c2e-4e15-a0a6-628b8e21f7bb,2312,299516729,FALSE,FALSE,FALSE,4
2017-08-25T14:26:21Z,2017-08-25T23:48:47Z,2017-08-25T23:55:54Z,2017-08-25T23:48:47Z,Desorbed NA,6,5,NA,5,NA,427,Lupine3Aug3_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Lupine3Aug3_08252017.qgd,5566bfb7-2c2e-4e15-a0a6-628b8e21f7bb,2320,320152258,FALSE,FALSE,FALSE,4
2017-08-25T14:26:21Z,2017-08-26T00:27:45Z,2017-08-26T00:34:47Z,2017-08-26T00:27:45Z,Desorbed NA,7,6,NA,6,NA,422,Lupine4Aug3_08252017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Lupine4Aug3_08252017.qgd,5566bfb7-2c2e-4e15-a0a6-628b8e21f7bb,2338,363002139,FALSE,FALSE,FALSE,4
2017-08-26T07:48:32Z,2017-08-26T14:53:26Z,2017-08-26T14:49:28Z,2017-08-26T14:49:28Z,Desorbed NA,1,1,NA,1,NA,238,Blank_08262017.qgd,Blank : RMBL,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Blank_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,51941,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T15:26:36Z,2017-08-26T15:30:51Z,2017-08-26T15:26:36Z,Leak-test failure High Pressure Leak Failure,2,2,NA,2,NA,255,HVleafJul30redo3_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/HVleafJul30redo3_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1990,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T15:59:46Z,2017-08-26T16:06:17Z,2017-08-26T15:59:46Z,Desorbed NA,3,3,NA,3,NA,391,AirAug3_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/AirAug3_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1990,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T16:36:15Z,2017-08-26T16:43:20Z,2017-08-26T16:36:15Z,Desorbed NA,4,4,NA,4,NA,425,Lupine5Aug3L_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Lupine5Aug3L_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2189,246343902,FALSE,FALSE,FALSE,4
2017-08-26T07:48:32Z,2017-08-26T17:14:53Z,2017-08-26T17:21:53Z,2017-08-26T17:14:53Z,Desorbed NA,5,5,NA,5,NA,420,AirAug20_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/AirAug20_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2318,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T17:52:02Z,2017-08-26T17:59:01Z,2017-08-26T17:52:02Z,Desorbed NA,6,6,NA,6,NA,419,AirAug9_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/AirAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2229,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T18:29:17Z,2017-08-26T18:36:21Z,2017-08-26T18:29:17Z,Desorbed NA,7,7,NA,7,NA,424,AMAug9_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/AMAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2235,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T19:06:41Z,2017-08-26T19:13:45Z,2017-08-26T19:06:41Z,Desorbed NA,8,8,NA,8,NA,424,GBAug9_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/GBAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2244,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T19:44:15Z,2017-08-26T19:51:18Z,2017-08-26T19:44:15Z,Desorbed NA,9,9,NA,9,NA,423,HVAug9_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/HVAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2254,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T20:22:10Z,2017-08-26T20:29:21Z,2017-08-26T20:22:10Z,Desorbed NA,10,10,NA,10,NA,431,CRAug9_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/CRAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2275,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T21:01:35Z,2017-08-26T21:07:45Z,2017-08-26T21:01:35Z,Desorbed NA,11,11,NA,11,NA,370,ACAug9_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/ACAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2365,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T21:39:41Z,2017-08-26T21:46:51Z,2017-08-26T21:39:41Z,Desorbed NA,12,12,NA,12,NA,430,ESAug9_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/ESAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2286,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T22:19:06Z,2017-08-26T22:26:10Z,2017-08-26T22:19:06Z,Desorbed NA,13,13,NA,13,NA,424,AirAug25_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/AirAug25_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2365,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T22:58:36Z,2017-08-26T23:05:42Z,2017-08-26T22:58:36Z,Desorbed NA,14,14,NA,14,NA,426,HM1Aug25_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/HM1Aug25_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2370,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T23:38:18Z,2017-08-26T23:45:23Z,2017-08-26T23:38:18Z,Desorbed NA,15,15,NA,15,NA,425,HM2Aug25_08262017.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/HM2Aug25_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2382,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-27T00:18:02Z,2017-08-27T00:25:10Z,2017-08-27T00:18:02Z,Desorbed NA,16,16,NA,16,NA,428,Blank2_08262017.qgd,Blank : RMBL,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Blank2_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,2384,NA,NA,NA,NA,NA
2018-08-20T08:33:56Z,2018-08-20T15:38:53Z,2018-08-20T15:37:17Z,2018-08-20T15:37:17Z,Desorbed NA,1,1,NA,1,NA,96,Blank_08202018.qgd,Blank : RMBL,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/Blank_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,142695,323974268,TRUE,FALSE,TRUE,7
2018-08-20T08:33:56Z,2018-08-20T16:09:27Z,2018-08-20T16:19:30Z,2018-08-20T16:09:27Z,Desorbed NA,2,2,NA,2,NA,603,AirBellNAug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/AirBellNAug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1834,69893678,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-20T16:45:02Z,2018-08-20T16:55:09Z,2018-08-20T16:45:02Z,Desorbed NA,3,3,NA,3,NA,607,BellNLeaf38Aug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNLeaf38Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2135,76209750,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-20T17:20:46Z,2018-08-20T17:30:52Z,2018-08-20T17:20:46Z,Desorbed NA,4,4,NA,4,NA,606,BellNLeaf40Aug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNLeaf40Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2144,38232514,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-20T17:56:40Z,2018-08-20T18:06:44Z,2018-08-20T17:56:40Z,Desorbed NA,5,5,NA,5,NA,604,BellNFlr40Aug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr40Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2154,83207532,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-20T18:32:47Z,2018-08-20T18:42:53Z,2018-08-20T18:32:47Z,Desorbed NA,6,6,NA,6,NA,606,BellNFlr35Aug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr35Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2167,109308775,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-20T19:09:16Z,2018-08-20T19:19:19Z,2018-08-20T19:09:16Z,Desorbed NA,7,7,NA,7,NA,603,BellNFlr30Aug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr30Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2189,120118764,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-20T19:46:03Z,2018-08-20T19:56:07Z,2018-08-20T19:46:03Z,Desorbed NA,8,8,NA,8,NA,604,BellNFlr38Aug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr38Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2207,91163699,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-20T20:23:09Z,2018-08-20T20:33:12Z,2018-08-20T20:23:09Z,Desorbed NA,9,9,NA,9,NA,603,BellNFlr31Aug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr31Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2226,43371296,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-20T21:00:33Z,2018-08-20T21:10:26Z,2018-08-20T21:00:33Z,Desorbed NA,10,10,NA,10,NA,593,BellNFlr34Aug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr34Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2244,62908427,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-20T21:38:04Z,2018-08-20T21:47:05Z,2018-08-20T21:38:04Z,Desorbed NA,11,11,NA,11,NA,541,BellNFlr33Aug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr33Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2251,71407237,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-20T22:14:07Z,2018-08-20T22:24:10Z,2018-08-20T22:14:07Z,Desorbed NA,12,12,NA,12,NA,603,BellNFlr42Aug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr42Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2163,60811245,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-20T22:51:25Z,2018-08-20T23:01:27Z,2018-08-20T22:51:25Z,Desorbed NA,13,13,NA,13,NA,602,BellNFlr39Aug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr39Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2238,71181434,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-20T23:28:59Z,2018-08-20T23:39:02Z,2018-08-20T23:28:59Z,Desorbed NA,14,14,NA,14,NA,603,BellNFlr32Aug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr32Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2254,134085336,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-21T00:06:36Z,2018-08-21T00:16:41Z,2018-08-21T00:06:36Z,Desorbed NA,15,15,NA,15,NA,605,BellNBeetleAug16_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNBeetleAug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2257,67065877,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-21T00:44:10Z,2018-08-21T00:54:11Z,2018-08-21T00:44:10Z,Desorbed NA,16,16,NA,16,NA,601,AirBellNAug18_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/AirBellNAug18_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2254,53428368,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-21T01:21:34Z,2018-08-21T01:31:41Z,2018-08-21T01:21:34Z,Desorbed NA,17,17,NA,17,NA,607,BellNFlr29Aug18_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr29Aug18_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2244,74297839,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-21T01:58:55Z,2018-08-21T02:08:58Z,2018-08-21T01:58:55Z,Desorbed NA,18,18,NA,18,NA,603,BellNFlr27Aug18_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr27Aug18_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2241,70567854,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-21T02:36:02Z,2018-08-21T02:45:58Z,2018-08-21T02:36:02Z,Desorbed NA,19,19,NA,19,NA,596,BellNFlr44Aug18_08202018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr44Aug18_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,2227,100185167,FALSE,FALSE,FALSE,3
2018-08-20T08:33:56Z,2018-08-21T12:52:26Z,NA,2018-08-21T12:52:26Z,Leak-test failure High Pressure Leak Failure,20,20,NA,20,NA,NA,NA,NA,NA,d411aaf6-db84-426d-a90c-107814d8bc4a,36984,NA,NA,NA,NA,NA
2018-08-21T16:05:06Z,2018-08-21T23:08:50Z,2018-08-21T23:09:34Z,2018-08-21T23:08:50Z,Desorbed NA,1,1,NA,1,NA,44,Blank_08212018.qgd,Blank : RMBL,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/Blank_08212018.qgd,2e43b46b-71c5-4665-8059-da737c3a4a10,36984,164567224,TRUE,FALSE,TRUE,7
2018-08-21T16:05:06Z,2018-08-21T23:39:15Z,2018-08-21T23:49:24Z,2018-08-21T23:39:15Z,Desorbed NA,2,2,NA,2,NA,609,BellNFlr45Aug18retry_08212018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr45Aug18retry_08212018.qgd,2e43b46b-71c5-4665-8059-da737c3a4a10,1825,118894078,FALSE,FALSE,FALSE,3
2018-08-21T16:05:06Z,2018-08-22T00:15:17Z,2018-08-22T00:25:28Z,2018-08-22T00:15:17Z,Desorbed NA,3,3,NA,3,NA,611,BellNFlr46Aug18_08212018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr46Aug18_08212018.qgd,2e43b46b-71c5-4665-8059-da737c3a4a10,2162,90780177,FALSE,FALSE,FALSE,3
2018-08-21T16:05:06Z,2018-08-22T00:51:25Z,2018-08-22T01:01:27Z,2018-08-22T00:51:25Z,Desorbed NA,4,4,NA,4,NA,602,BellNFlr48Aug18_08212018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr48Aug18_08212018.qgd,2e43b46b-71c5-4665-8059-da737c3a4a10,2168,86904735,FALSE,FALSE,FALSE,3
2018-08-21T16:05:06Z,2018-08-22T01:27:17Z,2018-08-22T01:37:25Z,2018-08-22T01:27:17Z,Desorbed NA,5,5,NA,5,NA,608,BellNBeetleAug18_08212018.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNBeetleAug18_08212018.qgd,2e43b46b-71c5-4665-8059-da737c3a4a10,2152,99748572,FALSE,FALSE,FALSE,3
2019-08-28T08:45:49Z,2019-08-28T15:50:42Z,2019-08-28T15:44:38Z,2019-08-28T15:44:38Z,Desorbed NA,1,1,NA,1,NA,364,Blank_08282019.qgd,Blank : RMBL,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/Blank_08282019.qgd,cffb1e93-951d-4d26-a300-f7e37b497793,36767,227880126,TRUE,FALSE,TRUE,2
2019-08-28T08:45:49Z,2019-08-28T16:21:05Z,2019-08-28T16:26:24Z,2019-08-28T16:21:05Z,Desorbed NA,2,2,NA,2,NA,319,ERB1_08282019.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/ERB1_08282019.qgd,cffb1e93-951d-4d26-a300-f7e37b497793,1823,295391244,FALSE,TRUE,TRUE,2
2019-08-28T08:45:49Z,2019-08-28T16:56:35Z,2019-08-28T17:01:51Z,2019-08-28T16:56:35Z,Desorbed NA,3,3,NA,3,NA,316,ERB2_08282019.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/ERB2_08282019.qgd,cffb1e93-951d-4d26-a300-f7e37b497793,2130,317139516,FALSE,TRUE,TRUE,2
2019-08-28T08:45:49Z,2019-08-28T17:32:12Z,2019-08-28T17:37:30Z,2019-08-28T17:32:12Z,Desorbed NA,4,4,NA,4,NA,318,ERB3_08282019.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/ERB3_08282019.qgd,cffb1e93-951d-4d26-a300-f7e37b497793,2137,321210783,FALSE,TRUE,TRUE,2
2019-08-28T08:45:49Z,2019-08-28T18:08:12Z,2019-08-28T18:13:31Z,2019-08-28T18:08:12Z,Desorbed NA,5,5,NA,5,NA,319,ERB4_08282019.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/ERB4_08282019.qgd,cffb1e93-951d-4d26-a300-f7e37b497793,2160,260984412,FALSE,TRUE,TRUE,2
2019-08-28T08:45:49Z,2019-08-28T18:44:39Z,2019-08-28T18:49:45Z,2019-08-28T18:44:39Z,Desorbed NA,6,6,NA,6,NA,306,ERB5_08282019.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/ERB5_08282019.qgd,cffb1e93-951d-4d26-a300-f7e37b497793,2187,298732862,FALSE,TRUE,TRUE,2
2019-08-28T08:45:49Z,2019-08-28T19:21:13Z,2019-08-28T19:26:32Z,2019-08-28T19:21:13Z,Desorbed NA,7,7,NA,7,NA,319,ERB6_08282019.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/ERB6_08282019.qgd,cffb1e93-951d-4d26-a300-f7e37b497793,2194,259316290,FALSE,TRUE,TRUE,2
2019-08-28T08:45:49Z,2019-08-28T19:58:24Z,2019-08-28T20:03:35Z,2019-08-28T19:58:24Z,Desorbed NA,8,8,NA,8,NA,311,ERB7_08282019.qgd,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/ERB7_08282019.qgd,cffb1e93-951d-4d26-a300-f7e37b497793,2231,298763853,FALSE,TRUE,TRUE,2
