name,median.ambient,median.floral,mean.nonzero.ambient,mean.nonzero.floral,mean.ambient,mean.floral,max.ambient,max.floral,match.var,match,RT.var,RT,count.ambient,freq.ambient,count.floral,freq.floral,filter_RT,filter_match,filter_freq.floral,filter_contaminant,filter_area,filter_ambient_ratio,ambient_ratio,ambient_pvalue,filter_ambient_ttest,filters_passed,filter_final
"4-Hexen-1-ol, (Z)-",0,0,NA,2816784.16,0,454320.0258064516,0,12882301,0.0012706666666666673,0.91,0.0014534166666666703,5.748,0,0,25,0.16129032258064516,OK,OK,OK,OK,OK,OK,Inf,0.03600453416452576,OK,7,TRUE
Anisole,0,33043,NA,241652.08974358975,0,121605.56774193549,0,5148469,0.00369998334998335,0.9,0.0010076838161838166,6.8815,0,0,78,0.5032258064516129,OK,OK,OK,OK,OK,OK,Inf,0.06563441079487506,OK,7,TRUE
"Benzene, (2-methoxyethyl)-",0,0,60090.25,2915045.205882353,9244.653846153846,1278858.541935484,76744,22490332,0.005088812785388125,0.96,0.001387647640791479,9.735,4,0.15384615384615385,68,0.43870967741935485,OK,OK,OK,OK,OK,OK,138.3349299192572,5.338232904162802e-4,OK,7,TRUE
"Benzofuran, 2,3-dihydro-",0,0,105802,260421.5,12207.923076923076,60484.993548387094,133103,1098665,0.004743333333333335,0.855,4.980967948717926e-4,11.799,3,0.11538461538461539,36,0.23225806451612904,OK,OK,OK,OK,OK,OK,4.9545686983171855,0.13911653846415478,tTestFail,6,TRUE
Benzyl alcohol,0,0,115313,218566.20833333334,4435.115384615385,33842.50967741935,115313,1417057,0.0025459999999999992,0.86,7.538999999999943e-5,8.922,1,0.038461538461538464,24,0.15483870967741936,OK,OK,OK,OK,OK,OK,7.630581561601061,0.38307823650263556,tTestFail,6,TRUE
Carveol,0,0,NA,393236,0,48203.12258064516,0,2706586,0.0010894736842105254,0.81,0.588656538011696,10.481,0,0,19,0.12258064516129032,OK,OK,OK,OK,OK,OK,Inf,0.4079262764795444,OK,7,TRUE
Caryophyllene,0,0,432948,919175.9666666667,16651.846153846152,177905.02580645162,432948,4891028,0.004511612903225805,0.93,6.361333333333404e-4,14.797,1,0.038461538461538464,30,0.1935483870967742,OK,OK,OK,OK,OK,OK,10.683801913781199,0.190824011221189,tTestFail,6,TRUE
"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, [1S-(1.alpha.,2.beta.,4.beta.)]-",0,0,NA,537468,0,100558.52903225807,0,1890681,0.00345070564516129,0.89,0.21343983467741934,14.3835,0,0,29,0.1870967741935484,OK,OK,OK,OK,OK,OK,Inf,0.02130025466152557,OK,7,TRUE
Cyclopentanol,0,0,NA,1071804.1,0,345743.2580645161,0,3145872,6.594285714285721e-4,0.91,0.09892859632653063,3.1559999999999997,0,0,50,0.3225806451612903,OK,OK,OK,OK,OK,OK,Inf,6.985505037282922e-7,OK,7,TRUE
Cyclopentanone,0,0,1236364,3398047.2181818183,190209.84615384616,1205758.6903225807,1990067,21594085,0.0013033313851548785,0.95,0.6372233091759204,4.572,4,0.15384615384615385,55,0.3548387096774194,OK,OK,OK,OK,OK,OK,6.339097132476176,0.03539311832189254,OK,7,TRUE
"Formic acid, decyl ester",0,0,237106.66666666666,435003.6956521739,27358.46153846154,129097.87096774194,309078,2715343,0.00459100145137881,0.92,3.1502681095791005,15.289,3,0.11538461538461539,46,0.2967741935483871,OK,OK,OK,OK,OK,OK,4.718754773043483,0.06850712425320384,tTestFail,6,TRUE
"Formic acid, hexyl ester",0,0,NA,1696895.6363636365,0,481699.4064516129,0,4449592,4.4184397163120483e-4,0.94,0.0962680833333333,6.001,0,0,44,0.2838709677419355,OK,OK,OK,OK,OK,OK,Inf,5.267780982617206e-6,OK,7,TRUE
Germacrene D,0,0,NA,1072115.375,0,110669.97419354839,0,2943250,0.0011262500000000007,0.89,2.5291666666660392e-6,15.601500000000001,0,0,16,0.1032258064516129,OK,OK,OK,OK,OK,OK,Inf,0.07079911847882205,OK,7,TRUE
Indole,0,0,NA,2290191.15,0,295508.53548387095,0,15774790,0.0021679653679653665,0.94,9.38346320346313e-4,12.994,0,0,20,0.12903225806451613,OK,OK,OK,OK,OK,OK,Inf,0.4079262764795444,OK,7,TRUE
Linalool,0,0,49702,571324.1363636364,1911.6153846153845,243273.50322580646,49702,3765681,0.0021561676909569788,0.92,0.4918301973222126,9.9915,1,0.038461538461538464,66,0.4258064516129032,OK,OK,OK,OK,OK,OK,127.26069542213529,4.008811783629741e-5,OK,7,TRUE
Methyl salicylate,0,0,133622.4,455828.07272727275,25696.615384615383,161745.44516129032,212071,1658086,0.00287276836158192,0.92,8.917115819209113e-4,11.5455,5,0.19230769230769232,55,0.3548387096774194,OK,OK,OK,OK,OK,OK,6.294426045623411,2.8804967704111357e-4,OK,7,TRUE
Phenylethyl Alcohol,0,0,NA,1359812.1612903227,0,271962.4322580645,0,7225175,0.0022395698924731174,0.92,5.685849462365574e-4,10.245,0,0,31,0.2,OK,OK,OK,OK,OK,OK,Inf,0.03204320258680142,OK,7,TRUE
Prenol,0,0,NA,190637.4,0,36897.56129032258,0,1105255,0.006418951612903225,0.835,0.01278404838709676,4.334,0,0,30,0.1935483870967742,OK,OK,OK,OK,OK,OK,Inf,0.035398415896095416,OK,7,TRUE
trans-.beta.-Ocimene,0,152199,210667,1669479.0795454546,24307.73076923077,947833.2838709677,287079,18831419,7.605860805860795e-4,0.94,4.822888888888878e-4,8.967,3,0.11538461538461539,88,0.567741935483871,OK,OK,OK,OK,OK,OK,38.99307972716049,6.344822944345228e-4,OK,7,TRUE
Ylangene,0,0,207570,657807.375,23950.384615384617,271610.7870967742,330626,8593356,0.0071014485514485515,0.815,8.779905671162172,14.14,3,0.11538461538461539,64,0.4129032258064516,OK,OK,OK,OK,OK,OK,11.340560557107047,0.08349903369356272,tTestFail,6,TRUE
