sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,verdict,FileName,sample,user,FullName,id,fuzzy_n,desorb.Start.diff,rowSum,nameBlank,Mixup,kBlank,Cluster
2017-08-25T14:26:21Z,2017-08-25T23:10:07Z,2017-08-25T23:17:10Z,2017-08-25T23:10:07Z,Desorbed NA,5,4,NA,4,NA,423,NA,LupineR4Aug20_08252017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/LupineR4Aug20_08252017.qgd,5566bfb7-2c2e-4e15-a0a6-628b8e21f7bb,1,2312,299516729,FALSE,TRUE,TRUE,2
2017-08-25T14:26:21Z,2017-08-25T23:48:47Z,2017-08-25T23:55:54Z,2017-08-25T23:48:47Z,Desorbed NA,6,5,NA,5,NA,427,NA,Lupine3Aug3_08252017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Lupine3Aug3_08252017.qgd,5566bfb7-2c2e-4e15-a0a6-628b8e21f7bb,1,2320,320152258,FALSE,TRUE,TRUE,2
2017-08-25T14:26:21Z,2017-08-26T00:27:45Z,2017-08-26T00:34:47Z,2017-08-26T00:27:45Z,Desorbed NA,7,6,NA,6,NA,422,NA,Lupine4Aug3_08252017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Lupine4Aug3_08252017.qgd,5566bfb7-2c2e-4e15-a0a6-628b8e21f7bb,1,2338,363002139,FALSE,TRUE,TRUE,2
2017-08-26T07:48:32Z,2017-08-26T14:53:26Z,2017-08-26T14:49:28Z,2017-08-26T14:49:28Z,Desorbed NA,1,1,NA,1,NA,238,NA,Blank_08262017.qgd,NA,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Blank_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,51941,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T15:26:36Z,2017-08-26T15:30:51Z,2017-08-26T15:26:36Z,Leak-test failure High Pressure Leak Failure,2,2,NA,2,NA,255,NA,HVleafJul30redo3_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/HVleafJul30redo3_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,1990,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T15:59:46Z,2017-08-26T16:06:17Z,2017-08-26T15:59:46Z,Desorbed NA,3,3,NA,3,NA,391,NA,AirAug3_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/AirAug3_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,1990,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T16:36:15Z,2017-08-26T16:43:20Z,2017-08-26T16:36:15Z,Desorbed NA,4,4,NA,4,NA,425,NA,Lupine5Aug3L_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Lupine5Aug3L_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2189,246343902,FALSE,TRUE,TRUE,2
2017-08-26T07:48:32Z,2017-08-26T17:14:53Z,2017-08-26T17:21:53Z,2017-08-26T17:14:53Z,Desorbed NA,5,5,NA,5,NA,420,NA,AirAug20_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/AirAug20_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2318,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T17:52:02Z,2017-08-26T17:59:01Z,2017-08-26T17:52:02Z,Desorbed NA,6,6,NA,6,NA,419,NA,AirAug9_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/AirAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2229,NA,NA,NA,NA,NA
2017-08-26T07:48:32Z,2017-08-26T18:29:17Z,2017-08-26T18:36:21Z,2017-08-26T18:29:17Z,Desorbed NA,7,7,NA,7,NA,424,NA,AMAug9_08262017.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/AMAug9_08262017.qgd,2a728d80-1a6e-44e0-9cc6-a4c6eca1c7d9,1,2235,NA,NA,NA,NA,NA
