Filename	pent-1-en-3-ol	pentan-3-one	pentan-1-ol	cyclopentanone	(Z)-hex-3-en-1-ol	hexyl formate	anisole	(E)-4-oxohex-2-enal	b-myrcene	phenylmethanol	(Z)-b-ocimene	(E)-b-ocimene	3-ethenyl-1,2-dimethylcyclohexa-1,4-diene	2-methoxyethylbenzene	2-phenylethanol	allo-ocimene	cosmene	2,6-dimethylocta-3,5,7-trien-2-ol	2,3-dihydro-1-benzofuran	indole	ylangene	b-elemene	germacrene B	a-guaiene	guaia-6,9-diene	g-selinene	a-gurjunene	a-panasinsene	(3E)-hex-3-en-1-yl acetate	3,4-dimethylocta-2,4,6-triene	carveol	cyclopentanol	3-methylbut-2-en-1-ol	2-methyl-6-methylideneocta-1,7-dien-3-one
Lupinus_lerb_20_2_8132021_18.qgd	6432	201070	9299	584716	72316	216605	9256	0	601200	0	0	235659	0	0	53869	39090	17896	0	7476	13513	0	0	0	0	0	0	0	0	123463	39090	0	0	0	0
Lupinus_lerb_20_3_8122021_12.qgd	5138	216791	12390	656385	56993	225163	4509	0	0	0	0	0	0	0	53008	4231	0	0	15559	13242	0	0	0	0	0	0	0	0	80656	4231	0	0	0	0
Lupinus_lerb_20_4_8142021_02.qgd	15730	189944	15321	236162	0	58098	424	0	155864	0	14157	18948	0	0	2983	2099	0	0	6945	11438	0	0	0	0	0	0	0	0	0	2099	0	189944	0	0
Lupinus_lerb_20_5_8142021_04.qgd	8126	173535	12091	741990	101878	320223	5960	0	987545	0	0	187831	0	0	52706	17765	0	0	55474	29804	0	0	0	0	7789	0	0	0	128070	17765	0	0	0	0
Lupinus_lerb_20_6_8122021_16.qgd	26033	404547	12975	433684	31830	110764	0	0	0	0	0	18073	0	0	6769	1196	0	0	8925	4333	0	0	0	0	0	0	0	0	18582	1196	0	405005	0	0
Lupinus_lerb_20_7_8122021_14.qgd	15415	340696	13912	482699	0	0	1930	0	244877	0	32693	28961	0	0	9841	4566	0	0	8202	15660	0	1205	0	0	0	0	0	0	10630	4566	0	0	0	0
Lupinus_lerb_20_8_8122021_18.qgd	3976	32455	7274	379349	284257	410815	7760	0	386985	0	0	73421	0	0	51382	10678	0	0	0	0	0	0	0	31357	31357	0	0	0	91540	10678	0	0	0	27541
Lupinus_lerb_20_8_8132021_16.qgd	242262	617539	10178	279554	33211	133723	0	0	1469015	10991	56960	168553	0	0	3239	14593	11938	0	10944	20648	0	0	0	0	0	0	0	0	8716	14593	0	615174	0	0
Lupinus_lerb_20_9_8132021_15.qgd	7152	175746	8798	569042	250381	456437	16656	84834	1030128	0	0	1118531	0	0	72449	29231	28866	0	0	21884	0	0	0	0	33851	0	0	0	424968	29231	0	0	0	0
Lupinus_npb_20_1_8142021_03.qgd	5284	141954	12891	594573	79178	360164	24247	0	1059983	0	463975	6189376	43412	1053797	210806	94628	132209	0	0	2332332	49247	37328	61669	0	157704	80972	72166	95146	128127	94628	0	0	0	0
Lupinus_npb_20_2_8122021_05.qgd	83256	730439	31847	344921	296148	359174	13124	48029	482721	0	508333	7658430	45074	247197	42629	149583	169925	54848	92214	30408	44160	29712	11955	32932	23544	18165	0	21310	141779	149583	0	730439	0	0
Lupinus_npb_20_3_8122021_02.qgd	23191	5516737	29504	920793	73308	468921	21329	24522	663783	0	771510	11612322	56980	2078966	37430	331923	232142	223130	209299	14492	102868	69666	16068	34671	51973	20876	0	41721	7518	331923	0	5514166	6247	0
Lupinus_npb_20_4_8112021_20.qgd	6259	0	0	1091993	575981	795392	51592	0	361862	0	697279	6757885	41556	4945564	494196	167096	162925	42144	0	82695	83914	0	23550	43713	587466	141640	0	12040	191623	160808	0	881865	17110	0
Lupinus_npb_20_5_8112021_18.qgd	85298	453749	22740	230683	40393	154603	2207	0	81306	0	40166	112659	0	100094	19526	5123	6180	0	9373	6976	0	0	0	0	3176	1041	0	0	41210	5123	0	453749	0	0
Lupinus_npb_20_6_8112021_19.qgd	4224	82231	8051	464518	108266	253044	5066	0	0	0	0	123249	0	72387	90954	2614	0	0	0	10384	0	0	0	0	20328	5979	0	0	118759	2614	0	0	0	0
mar1_08282019.qgd	9765	196341	49569	144244	57969	732643	49125	0	408722	40007	53589	202979	0	16834	14809	9991	17195	0	1613	2618	11061	0	2703	8427	26944	21405	0	0	53419	10008	0	196341	0	13797
mar10_08282019.qgd	17269	0	0	0	86541	182438	16814	0	176618	19204	84743	0	0	0	8996	15036	9541	0	2072	5728	0	0	0	0	14371	9650	0	0	55931	15036	0	335249	0	0
mar2_08282019.qgd	6585	215519	2975	36062	0	51325	6681	2885	52381	6128	27018	20948	0	0	1781	3893	0	0	1643	2348	0	0	0	0	3749	1963	0	0	0	3893	0	215519	0	0
mar3_08282019.qgd	195578	581207	20348	55286	81576	272856	2088	29476	192601	20813	252826	199877	4201	0	9253	54460	16863	0	26535	1856	5699	0	5826	0	38061	23603	0	0	44220	54460	0	581207	0	0
mar4_08282019.qgd	156427	526422	26430	51806	168968	441331	5302	0	146913	0	402812	379388	8154	0	6060	97208	24118	0	20520	1858	5751	0	6947	6405	20768	10835	4231	7326	77421	97208	0	553480	0	0
mar5_08282019.qgd	9290	0	0	12046	0	0	3077	4110	25615	7447	11458	17358	0	0	1694	2102	0	0	2827	2975	0	0	0	0	2094	0	0	0	4865	2102	0	65781	0	0
mar6_08282019.qgd	8928	0	0	0	19103	31351	1091	0	47679	7466	9805	0	0	0	3329	1880	0	0	4715	3087	0	0	0	0	3607	0	0	0	3052	1880	0	0	0	0
mar7_08282019.qgd	73670	462081	7150	41420	87575	164026	28716	11705	134847	15558	30231	133692	0	15808	11773	6104	0	0	1928	3788	0	8631	14279	0	42792	19185	7959	11895	360943	6104	0	462081	0	0
mar8_08282019.qgd	7964	8283	0	9618	0	0	0	0	3549	2316	0	0	0	0	828	0	0	0	2611	3144	0	0	835	0	0	0	0	0	2877	0	0	0	0	0
mar9_08282019.qgd	15468	87962	0	19560	17693	0	391	0	12764	5802	28014	27447	820	0	1902	5843	0	0	4495	3610	0	0	0	0	0	0	0	0	5008	5843	0	87962	0	0
mex1_08292019am.qgd	48370	561802	23360	115129	188174	812129	20397	0	2232957	38142	1106733	18033801	70851	4320167	464997	272831	294455	64617	18996	73489	90068	111472	178866	159974	355328	257472	138102	230676	91927	272831	0	561802	85228	0
mex2_08292019am.qgd	9915	111430	4942	40714	0	37451	4203	9618	59956	6878	18457	100839	1683	16219	7260	2793	9896	0	3246	3585	0	0	2106	0	9657	6492	1542	0	1499	2793	0	111430	0	4177
mex3_08292019am.qgd	12171	0	0	0	26147	0	2907	4855	57619	6853	7297	0	0	20825	5650	1623	0	0	2628	5232	0	0	1414	0	4508	2282	0	0	28337	1623	0	127993	11191	0
mex4_08292019am.qgd	6767	0	0	0	94313	212300	14995	0	675480	43698	58934	335763	4462	1610474	213774	14225	25868	0	6683	8901	24693	0	9704	30932	132624	86090	19137	31421	99582	14225	0	0	45447	0
mex5_08292019am.qgd	8414	0	0	0	0	45432	3113	6194	71602	12293	12766	0	0	26541	13835	2394	0	0	25232	4605	8966	0	5368	9395	29602	18069	6154	7093	6058	2394	0	109143	6830	0
mex6_08292019pm.qgd	21904	248980	37807	63129	36809	184976	32729	11743	4795057	0	220176	3478658	12663	1204826	58710	46620	52465	0	3032	5316	9930	4412	6425	10376	68202	28385	17505	13252	29107	46620	0	248980	14360	22360
ypo1_08292019pm.qgd	77456	1512387	39451	3223061	89576	136943	60115	0	129367	60150	315794	3423742	21030	3611826	2134203	85190	158189	18465	47215	4483503	83113	67335	60321	113531	448342	242125	18019	30116	27200	85190	0	1512387	133793	0
ypo2_08292019pm.qgd	148282	1462147	414062	7795875	110268	1065823	1218930	29669	108685	302602	257845	2251113	15703	3987131	2554042	60036	106610	0	22040	295314	36379	12050	15937	46109	554171	215948	76705	68584	21350	60036	0	1462147	189180	0
ypo3_08302019am.qgd	98001	227965	24075	286556	66535	114295	4638	0	122467	23951	10254	37706	0	74059	12205	1952	0	0	4338	7154	0	0	1459	0	5689	2768	0	0	57497	1952	0	0	0	0
ypo4_08302019am.qgd	30668	539927	19814	499576	21857	42470	6576	4812	68990	9932	25859	97769	0	59774	6233	3274	0	0	3072	5268	0	0	954	0	11194	2929	0	0	16370	3274	0	539927	1577	0
