.alpha.-Guaiene,.beta.-copaene,.beta.-Myrcene,.beta.-Ocimene,(-)-.alpha.-Panasinsen,"(1R,3aS,8aS)-7-Isopropyl-1,4-dimethyl-1,2,3,3a,6,8a-hexahydroazulene","(3E,5E)-2,6-Dimethylocta-3,5,7-trien-2-ol","(4aR,8aS)-4a-Methyl-1-methylene-7-(propan-2-ylidene)decahydronaphthalene",(E)-4-Oxohex-2-enal,"[1,1'-Bicyclopentyl]-2-one","1-Hexanol, 5-methyl-2-(1-methylethyl)-","1-Octanol, 2,7-dimethyl-",1-Pentanol,1-Penten-3-ol,"1,4-Cyclohexadiene, 3-ethenyl-1,2-dimethyl-","1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethylidene)-, (E,E)-","1,7-Octadien-3-one, 2-methyl-6-methylene-","1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7-tetramethyl-, [1aR-(1a.alpha.,4.alpha.,4a.beta.,7b.alpha.)]-","2-Pentenal, (E)-","2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)-","2,6-Dimethyl-1,3,5,7-octatetraene, E,E-","3-Hexen-1-ol, (Z)-",3-Pentanone,"4-Hexen-1-ol, (Z)-",Anisole,"Benzene, (2-methoxyethyl)-","Benzofuran, 2,3-dihydro-",Benzyl alcohol,Carveol,Caryophyllene,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, [1S-(1.alpha.,2.beta.,4.beta.)]-",Cyclopentanol,Cyclopentanone,"Formic acid, decyl ester","Formic acid, hexyl ester",Germacrene D,Indole,Linalool,Methyl salicylate,Phenylethyl Alcohol,Prenol,trans-.beta.-Ocimene,Ylangene
2404204,0,26965257,50326386,0,2602045,0,0,0,1944494,480492,0,0,0,0,1780697,0,5118728,0,1529298,0,0,0,2772616,0,22490332,0,0,2706586,0,0,0,0,0,0,0,0,0,0,3343239,0,7623942,4680285
0,0,0,3322475,0,0,0,0,0,0,0,617599,111343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1099876,184343,0,0,0,78504,64049,175324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921840,63428,0,0,0,0,618936,508769,0,0,0,510329,267236,0,921455,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,102816,0,0,0,0,0,667171,0,0,0,0,0,0,540485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1244074,0,0,0,0,0,0,0,0,99704,0,0,0,0,97972,0,224347,0,0,0,373434,0,0,0,0,0,0,0,0,1412959,146413,0,0,0,0,0,0,0,1558701,0
0,0,0,0,0,0,0,0,0,0,0,0,66983,0,0,0,0,0,346285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1814655,12622304,0,0,0,0,125417,0,0,0,53117,0,0,0,0,120959,0,0,0,373412,0,0,73502,1007853,0,0,0,0,0,1038710,1252113,0,0,0,678977,0,0,501281,0,0,812058
0,0,0,702802,0,0,0,0,354243,548806,0,0,90711,185660,0,0,0,0,0,0,0,0,0,7350789,0,235442,0,0,0,134398,0,905178,1524652,0,0,0,0,336983,449856,281018,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8957555,151776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,681002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1081490,163615,0,0,0,0,0,0,0,0,65677,0,0,0,0,0,0,0,0,0,0,0,0,0,59074,0,0,312454,0,0,1012776,0,0,0,0,0,0,0,0,0,0
0,0,0,2451620,0,0,0,0,0,0,0,0,92000,0,0,0,0,0,803538,0,0,0,0,0,0,0,632929,0,0,643880,0,0,0,956545,0,0,0,0,0,0,0,0,0
0,0,0,202584,0,0,0,0,108421,301499,0,0,109626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2122162,2662135,0,0,0,0,0,0,0,0,0,0
0,0,2127635,623279,0,0,0,0,0,0,0,0,0,0,0,0,356535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088838,0,0,0,0
0,0,0,1263704,0,0,0,0,710146,3226933,0,0,46723,0,0,0,0,0,0,0,0,0,0,1923040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2566135,0,0,0,0,0,0,1535810,0,76056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2715343,0,0,0,0,0,0,0,0,0
0,0,7108872,916069,0,0,0,0,92040,0,0,0,125497,437046,0,0,145591,0,0,85726,0,0,1655666,0,0,0,0,0,104722,0,0,0,1078066,0,0,0,0,0,0,0,0,0,0
2318151,0,0,33809565,0,3324434,0,0,0,0,0,0,0,0,0,1762112,0,5340596,0,503403,0,0,0,0,0,3954572,0,0,0,0,0,0,0,0,0,0,9046611,0,0,0,0,3909007,0
393286,1251274,2742746,40833953,0,275536,575230,0,239481,450604,0,0,231413,0,0,223632,0,660145,0,763143,1224125,0,2177303,0,108431,860077,340906,0,0,0,0,0,1287636,0,0,0,0,477721,0,0,0,2512831,532029
500976,2007795,3645472,61598835,0,477532,2047508,0,128027,875792,0,0,0,532342,522034,352290,0,1419834,0,0,558737,531463,10054087,0,131569,6209475,963825,0,0,0,0,0,2679096,0,2307035,0,0,737907,0,0,0,3750440,0
633017,2025203,3563599,35377500,0,4406242,470447,2582149,418846,1324557,0,716184,170461,0,1706413,454484,0,0,1032516,854920,0,0,0,3542741,224143,14207115,0,0,0,1885580,986975,2254282,3694457,0,3897817,0,401128,0,0,1746467,159569,3373085,1463964
0,0,0,698992,0,0,0,0,0,0,0,0,144242,0,0,0,0,0,0,0,0,363642,0,0,0,372412,0,0,0,0,0,1623016,946178,0,0,0,0,0,0,0,92384,0,0
0,0,0,1887482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328980,0,2383714,1151606,0,0,0,0,141872,1447603,0,0,244800,0,0,0,111491,512208,0,31962,0,0,0,0,252749,0,0,251568,139396,0,0,1020269,0,558913,3014258,0,0,450652,566484,0,74120,405438,407996
0,0,1079334,342921,0,0,0,0,134631,819540,135366,0,0,0,0,0,0,0,0,56634,0,0,0,0,104220,0,0,158416,0,0,0,1441596,0,426928,0,0,0,0,0,0,0,520347,205108
0,0,373370,142420,0,0,0,57037,0,205301,0,0,44387,0,0,0,45629,0,0,0,0,0,717356,0,62044,0,0,0,0,72191,0,0,0,324066,0,0,0,0,0,0,0,206667,0
0,0,1118878,1544795,0,519807,0,390653,121935,520928,0,0,130324,344422,0,0,0,0,0,433762,127075,674530,1742867,0,0,0,122517,0,0,0,0,0,0,328272,0,0,0,0,0,0,141615,1286900,43158
115477,239676,836408,2061683,66919,295990,0,196759,173738,527056,0,0,542903,295310,70430,0,0,97957,0,481895,159553,0,1321588,1167617,0,0,87752,0,0,0,0,0,0,240390,1703273,728029,0,106844,283520,0,0,1968241,402744
0,0,283103,111068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47248,0,0,0,0,0,0,0,0,318879,0,0,0,0,212038,0,0,130610,0
0,0,325173,123493,0,0,0,0,0,0,0,0,65906,0,0,0,0,0,0,0,0,205644,0,0,0,0,0,61007,0,0,0,0,0,0,0,0,0,0,0,0,0,119574,0
155192,0,959636,764370,155307,450134,0,432171,71302,369319,0,0,63591,183766,0,208283,0,167388,0,26739,0,0,1089293,0,187295,100198,0,123112,0,0,0,0,387922,0,700851,426238,0,136064,255562,0,0,244219,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322634,0,0,0,0,199545,0,0,0,335908
0,0,143499,186078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24774,0,0,0,0,0,0,0,50972,50871,0,0,347151,0,0,0,0,0,0,235281,0,0,203007,172030
2344732,678660,13391044,103597552,1252791,3102329,585414,4378692,168993,1012982,0,0,146864,0,284549,2922638,0,3349044,749074,1402569,2695816,1352548,1529382,0,148291,12385403,190458,0,0,0,1890681,0,0,0,3009562,2262790,461965,3617430,0,1570514,437890,5348360,1343103
65648,0,451220,605731,0,135506,0,163730,63632,216689,0,0,47690,0,0,0,0,0,0,0,116773,0,0,0,0,108231,0,0,0,44393,0,427315,0,0,0,0,0,131051,0,0,0,163958,0
0,0,406133,115483,0,0,0,0,0,182878,0,0,104058,0,0,0,0,0,0,0,0,0,0,0,44081,95756,0,0,0,0,0,651243,0,152661,0,0,0,0,0,0,146612,0,0
622571,0,4600366,1864985,250917,1457878,0,1607456,151290,589652,0,0,109974,0,0,0,0,445123,0,51159,251894,0,0,707137,93670,4522173,0,219619,0,0,0,0,0,0,0,0,0,795129,357187,867323,0,362399,277877
151591,0,575820,139143,83603,299897,0,363344,47029,0,0,0,72416,0,0,75396,0,115822,0,0,0,0,0,0,0,112958,116299,0,0,0,0,710641,0,0,0,0,0,0,0,0,124073,130511,117095
311121,0,23508680,18872402,0,835825,0,0,64155,502319,0,0,198583,0,0,0,0,1115842,0,226830,528889,0,0,0,171022,3500263,0,0,0,0,0,1249996,0,0,1158144,0,0,3765681,0,0,184670,1217359,126858
1719602,0,0,18489139,296824,3681155,218507,3616497,139974,593895,0,0,211600,0,206505,1239750,0,442058,0,0,1006094,640636,3297525,0,334349,10383671,260917,316649,353326,0,1797912,0,9108079,0,0,1897150,15774790,0,0,6257862,0,1677628,1114106
692439,0,0,12174715,509057,4255704,0,3653595,77371,985401,0,0,1650769,264292,0,229207,0,1655754,0,323772,0,835962,3124764,0,5148469,11437616,0,1417057,225644,0,398814,0,21594085,0,3813491,863806,1199407,0,571804,7225175,0,1324826,484505
0,0,839880,286472,0,0,0,0,81096,0,0,0,154564,0,0,0,0,0,0,0,0,0,0,0,37858,265576,0,0,0,0,0,0,1265102,0,0,0,0,0,0,0,90478,123532,0
0,0,637807,562221,0,0,0,0,0,167898,0,0,120510,0,0,0,0,0,0,20246,0,0,1189118,0,61967,215402,0,0,0,0,0,0,1606550,0,0,0,0,0,0,0,0,199574,0
