.alpha.-Guaiene,.beta.-copaene,.beta.-Myrcene,.beta.-Ocimene,(-)-.alpha.-Panasinsen,"(1R,3aS,8aS)-7-Isopropyl-1,4-dimethyl-1,2,3,3a,6,8a-hexahydroazulene","(3E,5E)-2,6-Dimethylocta-3,5,7-trien-2-ol","(4aR,8aS)-4a-Methyl-1-methylene-7-(propan-2-ylidene)decahydronaphthalene",(E)-4-Oxohex-2-enal,"[1,1'-Bicyclopentyl]-2-one","1-Hexanol, 5-methyl-2-(1-methylethyl)-","1-Octanol, 2,7-dimethyl-",1-Pentanol,1-Penten-3-ol,"1,4-Cyclohexadiene, 3-ethenyl-1,2-dimethyl-","1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethylidene)-, (E,E)-","1,7-Octadien-3-one, 2-methyl-6-methylene-","1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7-tetramethyl-, [1aR-(1a.alpha.,4.alpha.,4a.beta.,7b.alpha.)]-","2-Pentenal, (E)-","2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)-","2,6-Dimethyl-1,3,5,7-octatetraene, E,E-","3-Hexen-1-ol, (Z)-",3-Pentanone,"4-Hexen-1-ol, (Z)-",Anisole,"Benzene, (2-methoxyethyl)-","Benzofuran, 2,3-dihydro-",Benzyl alcohol,Carveol,Caryophyllene,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, [1S-(1.alpha.,2.beta.,4.beta.)]-",Cyclopentanol,Cyclopentanone,"Formic acid, decyl ester","Formic acid, hexyl ester",Germacrene D,Indole,Linalool,Methyl salicylate,Phenylethyl Alcohol,Prenol,trans-.beta.-Ocimene,Ylangene
81979,0,734348,721104,0,299296,0,171455,0,211293,0,0,55968,270554,0,20584,0,0,111320,58225,0,0,1682650,0,101968,0,0,0,0,0,31649,0,0,36411,0,0,0,283447,162250,0,0,374548,41748
0,0,701681,190024,0,237883,0,143913,0,161353,0,0,85637,105838,0,18035,0,0,0,41803,0,0,0,0,84752,0,0,0,127173,0,36347,0,0,0,0,0,0,0,0,0,0,0,0
645484,1164982,5467726,26053527,213849,2189958,0,1914678,41426,0,0,0,475088,97569,462825,900019,273415,525091,143216,0,0,0,0,0,51454,152191,0,0,0,123747,568939,639573,0,0,1315300,0,0,1481719,262457,661911,0,1557177,388637
224771,0,2827062,448995,0,748173,0,651833,0,0,0,0,42713,60245,0,0,0,0,0,0,0,0,0,0,164201,0,0,0,0,0,35591,770094,0,34016,0,0,0,372411,261303,0,0,787656,99887
62736,0,1204607,1008054,0,250628,0,132766,79355,210164,0,131719,51022,98429,0,61771,0,0,0,337616,0,0,1067291,280496,255528,0,0,0,0,86853,0,0,0,0,544402,0,0,0,0,0,37621,1395205,0
128785,0,2498829,107684,54361,213633,0,229680,0,357203,0,473508,664287,0,0,56837,148466,51320,0,0,0,0,685896,0,748811,891455,0,0,0,0,193583,0,0,0,612984,0,0,455850,380832,0,0,0,253904
104112,0,1354878,919703,61915,323540,0,252211,0,175961,0,0,0,59444,0,83987,0,89650,0,0,0,0,533473,0,135945,96559,0,0,0,0,63737,0,0,0,0,0,0,144913,0,0,0,152199,0
0,0,2099008,123021,0,0,0,236837,0,0,0,0,553822,104653,32404,0,0,106848,0,0,0,0,0,0,263978,894785,0,0,0,0,0,590904,0,0,0,0,0,492523,616882,0,0,0,0
217717,0,7730466,145389,0,0,0,617128,0,307967,0,0,0,0,0,0,121050,552849,576164,0,0,0,0,0,399471,0,0,0,0,0,72687,0,0,0,0,0,0,645595,678887,0,0,0,0
80867,0,680046,256304,112277,307164,0,165612,0,474550,0,335979,882693,77270,0,0,0,149696,0,0,0,0,0,0,127673,0,0,0,0,0,0,0,0,43534,0,0,0,244981,457110,0,0,0,0
0,0,682866,469951,0,0,0,0,0,0,0,291613,406491,121845,0,0,0,0,0,0,0,0,0,0,180248,0,0,0,0,32686,0,687968,0,0,0,0,0,191784,543504,0,0,0,0
0,0,375263,42268,0,0,0,0,17260,0,0,0,43789,0,0,0,0,0,0,0,0,0,0,0,0,0,41636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80602,0
340010,0,794474,876821,109086,930467,0,901642,42384,380226,0,0,49565,145858,0,326833,0,288367,0,162824,0,529983,2314666,0,91058,750410,0,97144,87914,797514,808224,0,0,0,0,0,0,224619,0,0,0,507810,642801
0,0,220799,38692,0,0,0,0,0,0,47861,0,0,34855,0,0,0,0,0,2646,0,0,381545,0,0,0,179017,0,0,0,0,0,0,0,0,0,0,148891,519683,0,0,0,0
0,0,600175,176238,0,0,0,175888,61675,394290,0,0,52051,0,0,0,0,0,0,0,0,0,940751,0,81929,178638,0,0,0,0,0,0,0,621831,668040,0,0,181012,312164,0,0,149401,651116
432584,0,3345034,6856049,129757,786626,0,0,38542,518455,0,0,79850,91905,90983,886317,0,1303282,0,212660,248910,396609,0,0,37549,1599663,0,19415,0,0,0,603391,4753816,583396,0,0,0,788482,0,0,78364,563430,137777
131228,291939,3315138,14622694,103328,516915,0,415724,80245,305490,0,0,985380,1022399,0,90640,0,186642,0,111565,301795,360653,6081954,0,70696,86947,37831,20334,0,0,0,1683888,9527415,303638,1341425,0,0,290853,341979,0,0,959177,65204
113546,232576,739640,1701167,132251,361946,0,344626,0,132538,0,0,34982,0,0,0,0,204067,0,23945,86824,0,530577,0,0,490441,0,58167,0,0,0,0,2648367,0,0,0,0,165914,182753,0,0,191566,68002
0,0,3739090,12509940,0,411443,0,267560,0,0,0,0,79623,0,0,0,0,206776,0,218419,291469,0,0,0,0,424099,192820,193138,0,0,0,1318633,2686700,467064,0,0,0,386144,0,0,0,785518,0
928748,0,9092537,467953,409490,2566175,0,0,35497,821612,0,0,116456,146114,0,793851,0,2663434,0,36996,0,0,1683758,0,162429,9655252,90849,0,0,0,817162,0,5782283,0,1087950,1117443,0,1997446,0,972084,0,118313,354873
111161,0,5014285,3166473,93381,332807,0,0,0,0,61116,0,51220,0,0,0,0,161388,0,46777,202571,0,0,0,50609,1108299,0,0,0,0,0,754412,1478479,0,0,0,0,242396,390504,0,81701,226446,46857
393458,0,4383957,2522068,257432,727330,0,938071,0,0,0,0,57054,4821,0,574923,0,917639,0,72850,161290,0,0,0,33043,2182185,30299,0,0,0,431700,601886,1324039,191879,0,628659,0,281525,264177,0,0,168714,469894
272371,0,4723850,33666653,136208,819389,125966,757137,0,246140,0,0,82737,74365,174848,439020,0,330185,0,272860,507935,0,1449399,0,202167,2375354,0,0,0,0,0,0,3951238,325139,0,380191,0,308288,399896,0,0,1477852,122611
2650333,0,6943785,24970512,1513727,3794652,94972,5740890,186774,625806,0,0,302134,690850,200690,3904075,0,5579666,0,758318,597996,1327425,12333111,0,169531,8749610,434617,34918,0,0,1781244,0,15820130,0,2381535,2943250,538323,622570,0,1308186,0,3003781,1242708
65012,114937,709637,2260211,0,175435,0,0,41245,166922,0,0,178534,103425,0,0,0,79784,0,40177,0,382234,0,0,443848,189435,0,0,37159,0,0,926414,3454687,0,0,0,0,0,0,0,0,304356,50710
688717,0,2487151,91734,190008,1402630,0,0,246595,605976,0,0,170212,0,0,247695,0,1916575,0,0,0,0,0,1565977,55191,4464833,0,0,0,0,0,2233163,5491271,906918,1519464,0,0,0,0,662542,0,0,819900
0,0,197847,1478451,0,0,0,0,29975,114244,0,0,81660,114107,0,0,0,0,0,22274,77352,272990,726544,0,49653,286561,0,0,0,0,0,0,536492,309196,0,0,0,57682,173370,0,75116,142637,0
0,0,346499,965473,0,162362,0,0,64744,192189,0,0,38772,0,0,0,0,78167,0,13944,146327,383345,4965897,0,65448,78847,0,0,0,23410,0,0,2661061,0,0,0,0,0,190515,0,0,0,0
338092,736729,2018978,11352548,200750,1130318,0,0,120369,253188,0,0,174802,0,0,378486,0,1840787,0,177220,374990,0,0,1252616,64525,2498830,0,0,0,0,284363,1543843,2642797,0,0,0,0,276649,322275,245119,0,505733,156242
216134,0,617447,3360694,127719,469686,0,445788,0,142431,0,0,82343,128569,0,159498,0,313450,0,145839,189494,301229,1013968,0,82178,331134,0,0,0,0,0,0,1426312,0,0,253536,0,184943,349086,128680,0,773105,187713
0,0,2467347,16688233,0,646863,0,0,142273,416473,73059,0,214286,0,170833,0,0,205768,0,198541,341516,0,0,0,724985,1511467,46451,0,0,0,0,2596338,4550492,491603,870598,0,0,499595,0,0,0,875587,0
660324,0,0,39148857,86512,1659328,888668,0,0,435059,0,0,128401,0,123733,0,0,2196197,353054,1445505,1173905,0,1138283,0,163556,5198411,0,225347,0,0,1189135,0,0,0,1515115,722470,892072,0,0,1490212,206171,3392926,818600
1170930,0,14101472,13723587,364752,2133904,113408,2498419,138569,600064,0,0,610053,400359,0,474367,451485,821603,0,375617,499263,419021,1589784,0,114260,7253373,0,0,0,0,864132,0,747842,0,1562676,1077921,412117,1783614,269317,3253752,102618,1662491,848901
425701,0,3870784,28435341,0,1980295,368238,1734937,171792,722041,0,0,109208,0,193112,0,0,0,532799,916181,745269,799546,1216415,0,175978,9730677,96384,21762,0,0,0,0,0,558869,1737425,0,1584613,585496,0,1918077,201531,3762232,554435
87388,147515,778908,6870131,0,228100,0,205156,0,130324,0,0,82391,214998,0,0,0,72256,0,187619,195188,0,1167760,0,40124,856806,99542,0,0,0,0,0,0,0,397202,0,0,0,0,0,104117,1232363,0
671436,0,0,4422070,375090,2218802,0,2277197,117175,387326,0,0,200607,163373,93038,164526,0,1074953,0,87858,224558,0,991562,0,133275,8277750,209363,0,216994,0,349078,0,0,179865,730473,585114,414400,252760,261102,953934,0,379776,387749
683173,0,1984944,7843081,211862,1439331,0,1340151,177352,0,0,0,75643,0,0,403749,0,523136,0,185876,445614,0,0,0,106650,6316796,0,158363,0,0,0,1125638,0,686682,0,0,1183315,387257,0,914483,0,763158,237958
0,0,1725052,8184432,119934,600591,0,468720,68973,0,225857,0,126464,0,145191,0,0,209789,0,142252,266761,0,0,0,0,145396,400321,0,0,326448,0,1116725,0,0,542579,0,0,779985,0,0,247806,959647,62175
122822,0,535851,1325231,0,291290,0,0,0,0,61618,0,46901,0,0,0,0,134169,0,53910,0,0,0,0,0,226924,0,0,0,0,0,714841,229719,356346,0,0,338460,280978,392229,354676,0,379983,0
0,0,0,75580,0,0,0,0,74196,109330,0,36303,0,0,0,0,0,0,0,0,0,348143,0,0,0,0,0,0,0,0,0,680082,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,51436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147614,0,0,0,0
0,0,463298,998973,0,190587,0,0,51894,642983,0,0,187545,142444,0,0,66083,0,0,44855,130024,483944,1005619,0,0,0,0,224993,0,337862,0,0,592418,0,1557841,0,0,0,0,369677,0,262548,0
0,0,72458,0,0,0,0,0,0,0,0,0,39105,37588,0,0,0,0,38959,0,0,90110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39134,0,0,0,0
0,0,1615466,150299,0,0,0,0,64584,717760,0,0,463145,101104,0,0,96952,0,0,30354,0,0,702013,0,0,0,0,0,0,653838,0,0,0,0,1229540,0,0,0,0,0,0,295830,0
0,0,167086,50178,0,0,0,0,0,34572,0,0,0,0,0,0,27473,0,0,0,0,0,116092,0,0,0,0,0,0,0,0,0,0,159925,164737,0,0,0,0,0,0,41115,88248
0,0,442413,140556,0,0,0,0,81622,582678,0,0,80155,84019,0,0,0,0,0,0,0,0,1012188,1371765,0,0,0,313281,0,184615,0,0,0,0,2395112,0,0,159689,0,0,46049,0,48181
0,0,100190,0,0,0,0,0,0,159084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165630,0,88043,0,0,0,0,0,0,0,0,0
0,0,0,141633,0,0,0,0,0,231314,0,0,70661,105052,0,0,0,0,0,0,0,0,1161121,0,0,0,0,0,0,150384,0,0,0,0,0,0,0,0,367778,0,0,0,362671
0,0,1323646,152637,0,0,0,0,80867,442608,2104920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149424
0,0,519754,59437,0,0,0,0,49869,0,0,0,0,0,0,0,33506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435661,0,0,0,0,0,133388,389251,0,0,0,0
0,0,752794,66512,0,0,0,0,56551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52030,0,506621,0,0,0,0,0,187437,251877,0,0,0,0
0,0,17797994,985201,0,0,231369,0,136441,837585,0,0,76887,0,0,0,517731,0,0,101119,0,764956,0,0,55668,0,0,320723,122832,0,0,1125071,0,504870,1946946,0,0,853232,0,0,51468,999890,0
0,0,653573,121436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686536,0,240125,0,0,0,0,0,0,0,171661,0
0,0,2791659,642815,0,0,0,0,42827,335594,0,0,191808,0,0,0,291783,0,142827,78795,144769,234794,1013620,0,0,0,0,0,0,0,0,0,0,0,891063,0,0,0,411049,0,82479,450681,0
0,123525,1590446,0,0,0,141873,0,0,673146,0,0,49279,0,0,0,290812,0,0,0,0,0,2067621,0,372630,0,0,0,0,0,73476,0,133007,220811,0,0,0,0,0,0,0,0,0
0,0,2676594,484136,0,0,0,0,0,0,463083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373115,0,0,0,0,0,0,0,0,0
0,0,1239362,125824,0,0,0,195514,0,1026283,0,0,113264,0,0,0,197666,0,0,0,0,0,0,0,290946,0,0,273969,0,4442345,92562,0,0,273807,0,0,0,0,0,0,0,0,0
0,0,0,163674,0,0,0,0,0,915124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523991,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,190472,0,0,0,0,0,0,0,0,0,419329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,253144,0,0,0,0,30602,0,0,0,60397,0,0,0,0,0,0,0,0,0,0,145823,172885,886677,0,0,60500,0,0,148711,0,37585,0,0,76900,144557,0,212070,0,0,22133
218040,0,852646,2135278,161820,0,0,0,32132,491275,0,80470,75028,73826,0,92633,0,441008,0,202166,131538,0,0,0,190702,705698,0,0,0,0,118041,508112,454456,0,0,0,1790082,0,0,410228,0,0,0
50397,0,0,579549,0,0,0,0,0,0,0,0,0,74023,0,0,0,124538,0,0,0,0,771037,0,368483,484125,0,0,0,0,0,0,0,138403,0,0,98514,0,0,0,0,0,0
143050,0,653466,4245862,0,865710,0,0,0,357318,0,0,49354,60033,0,54191,0,599982,611013,196994,207241,0,0,0,228451,472602,0,0,0,46144,0,504698,0,0,0,0,0,0,0,712581,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7969034,69546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8593356
0,0,25953031,3647767,0,0,0,0,0,3716499,0,5705949,0,0,0,0,2853373,0,0,0,0,0,0,0,0,0,0,0,1529203,2180118,0,0,0,799084,0,0,0,0,0,0,0,0,0
0,0,2970359,736151,0,0,0,0,0,451233,0,0,118417,0,0,0,389132,0,0,0,0,0,0,0,0,0,0,0,0,149453,0,0,2871967,100876,0,0,0,0,0,0,0,658061,0
0,89948,2494134,836923,0,0,0,0,67814,481217,0,0,0,0,201894,0,0,0,0,348461,0,0,1177477,0,0,0,259907,0,0,635713,0,0,1819308,0,0,0,0,0,408849,0,0,1365353,609372
0,0,3683190,539393,0,0,0,0,1373106,2319297,0,0,140442,198863,0,0,0,0,0,0,0,0,2307718,5169730,156353,0,569215,500409,0,1982552,0,0,3124907,704458,4449592,0,0,741348,1658086,859399,0,0,0
0,0,0,1634472,0,0,0,0,0,0,0,0,108035,0,0,0,0,0,728526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2577975,671379,0,0,0,0,140862,924008,0,0,0,0,0,0,0,0,0,66418,0,0,1255367,0,0,0,0,0,0,1056158,0,0,2056032,0,0,0,0,469826,0,0,0,0,0
0,0,0,2234408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337200,0,0,0,0,0,0,0,0,0,1674819,0,0,0,0,0,0,0,0,0,0,0,2208443,0
0,0,2270613,48398933,0,0,558379,0,1127154,977960,153046,0,239156,0,2726337,0,0,0,0,960235,857064,0,3282000,12882301,0,0,0,0,0,0,0,0,1598049,0,3884271,0,0,1513591,0,0,253439,3277364,0
0,0,2854009,43692457,0,0,377872,0,0,0,0,0,196902,0,0,0,0,0,0,0,0,0,0,0,0,0,178924,0,0,0,0,2554838,0,0,0,0,0,0,0,0,0,6317006,242734
0,0,5856398,5004932,0,0,0,0,422776,0,537827,0,366673,0,0,0,0,0,0,194354,0,0,0,1851323,0,0,966369,0,0,0,0,0,0,933155,0,0,0,0,0,0,0,0,0
0,0,9701045,18558724,0,0,211725,0,486050,502087,0,0,696326,0,941029,0,0,0,0,727449,397747,0,4680859,3711709,1524953,0,105647,0,0,0,0,0,0,0,3973726,0,2198988,0,1482404,0,0,3382652,0
0,0,5780551,54255399,0,0,957856,0,0,0,0,0,106375,0,0,0,0,0,0,0,1476449,0,0,0,128381,0,0,0,0,0,0,1425921,825998,0,0,0,0,0,0,0,746890,9993960,0
0,0,17362043,99259416,0,0,4855255,0,53791,0,0,0,212400,0,691808,0,0,0,0,0,3537134,0,3623735,0,132730,0,0,0,0,2027378,0,0,896004,0,0,0,0,0,0,0,1105255,18831419,0
0,0,5131902,95969116,0,0,759745,0,462778,0,0,0,263495,0,3709619,0,0,0,161837,0,1424971,0,0,5104066,297237,0,0,0,0,4891028,0,3145872,1977581,0,4202126,0,6333821,0,1141489,1413739,426436,15384934,0
0,0,0,14494245,0,0,0,0,0,0,0,0,97403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466091,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2538249,0,220874,124523,0,168290,247958,0,0,194388,534513,0,0,0,354325,0,244920,0,1073968,2393773,0,0,0,185094,0,247867,0,201112,0,1212288,0,2088827,0,0,374970,1486184,444528,97754,1117592,129282
0,0,1894725,5786116,0,378278,0,314344,0,0,83571,0,125665,159602,0,251438,0,0,0,230761,0,0,0,0,0,0,0,0,297338,0,0,2654370,1203250,0,0,0,0,0,0,0,0,799287,0
0,0,0,1715430,0,0,0,0,0,0,0,0,80622,0,0,0,0,0,768691,0,0,0,0,2068296,0,1208069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4153428
