index,FileName,fn1,fn2,fn3,fn4,fn5,fn6,fn7,fn8,sample,rowSum,Cluster,type,pop,sample_year,plant,rundate,GCn
,BellNFlr33Aug16_08202018.qgd,BellNFlr33Aug16,08202018,qgd,,,,,,,71407237,3,,,,,,
,BellNFlr42Aug16_08202018.qgd,BellNFlr42Aug16,08202018,qgd,,,,,,,60811245,3,,,,,,
,BellNFlr39Aug16_08202018.qgd,BellNFlr39Aug16,08202018,qgd,,,,,,,71181434,3,,,,,,
,BellNFlr32Aug16_08202018.qgd,BellNFlr32Aug16,08202018,qgd,,,,,,,134085336,3,,,,,,
,BellNBeetleAug16_08202018.qgd,BellNBeetleAug16,08202018,qgd,,,,,,,67065877,3,,,,,,
,AirBellNAug18_08202018.qgd,AirBellNAug18,08202018,qgd,,,,,,,53428368,3,,,,,,
,BellNFlr29Aug18_08202018.qgd,BellNFlr29Aug18,08202018,qgd,,,,,,,74297839,3,,,,,,
,BellNFlr27Aug18_08202018.qgd,BellNFlr27Aug18,08202018,qgd,,,,,,,70567854,3,,,,,,
,BellNFlr44Aug18_08202018.qgd,BellNFlr44Aug18,08202018,qgd,,,,,,,100185167,3,,,,,,
,Blank_08212018.qgd,Blank,08212018,qgd,,,,,,,164567224,7,,,,,,
,BellNFlr45Aug18retry_08212018.qgd,BellNFlr45Aug18retry,08212018,qgd,,,,,,,118894078,3,,,,,,
,BellNFlr46Aug18_08212018.qgd,BellNFlr46Aug18,08212018,qgd,,,,,,,90780177,3,,,,,,
,BellNFlr48Aug18_08212018.qgd,BellNFlr48Aug18,08212018,qgd,,,,,,,86904735,3,,,,,,
,BellNBeetleAug18_08212018.qgd,BellNBeetleAug18,08212018,qgd,,,,,,,99748572,3,,,,,,
,Blank_08282019.qgd,Blank,08282019,qgd,,,,,,,227880126,2,,,,,,
,ERB1_08282019.qgd,ERB1,08282019,qgd,,,,,,,295391244,2,,,,,,
,ERB2_08282019.qgd,ERB2,08282019,qgd,,,,,,,317139516,2,,,,,,
,ERB3_08282019.qgd,ERB3,08282019,qgd,,,,,,,321210783,2,,,,,,
,ERB4_08282019.qgd,ERB4,08282019,qgd,,,,,,,260984412,2,,,,,,
,ERB5_08282019.qgd,ERB5,08282019,qgd,,,,,,,298732862,2,,,,,,
,ERB6_08282019.qgd,ERB6,08282019,qgd,,,,,,,259316290,2,,,,,,
,ERB7_08282019.qgd,ERB7,08282019,qgd,,,,,,,298763853,2,,,,,,
,ERB8_08282019.qgd,ERB8,08282019,qgd,,,,,,,279390326,2,,,,,,
,ERBAIR1_08282019.qgd,ERBAIR1,08282019,qgd,,,,,,,278465712,2,,,,,,
,ERBAIR2_08282019.qgd,ERBAIR2,08282019,qgd,,,,,,,272472779,2,,,,,,
,ERB9_08282019.qgd,ERB9,08282019,qgd,,,,,,,288998401,2,,,,,,
,LERB1_08282019.qgd,LERB1,08282019,qgd,,,,,,,336983828,2,,,,,,
,LERBAIR1_08282019.qgd,LERBAIR1,08282019,qgd,,,,,,,295441772,2,,,,,,
,LERB2_08282019.qgd,LERB2,08282019,qgd,,,,,,,290386790,2,,,,,,
,LERB3_08282019.qgd,LERB3,08282019,qgd,,,,,,,281444383,2,,,,,,
,BVB1_08282019.qgd,BVB1,08282019,qgd,,,,,,,278598109,1,,,,,,
,BVB2_08282019.qgd,BVB2,08282019,qgd,,,,,,,302591926,1,,,,,,
,BVB3_08282019.qgd,BVB3,08282019,qgd,,,,,,,258804306,2,,,,,,
,BVB4_08282019.qgd,BVB4,08282019,qgd,,,,,,,265873609,1,,,,,,
,bbair1_08282019.qgd,bbair1,08282019,qgd,,,,,,,223516777,2,,,,,,
,marair1_08282019.qgd,marair1,08282019,qgd,,,,,,,271401372,2,,,,,,
,marair2_08282019.qgd,marair2,08282019,qgd,,,,,,,274754284,2,,,,,,
,mar1_08282019.qgd,mar1,08282019,qgd,,,,,,,313926289,1,,,,,,
,mar2_08282019.qgd,mar2,08282019,qgd,,,,,,,256815305,2,,,,,,
,mar3_08282019.qgd,mar3,08282019,qgd,,,,,,,275678566,1,,,,,,
,mar4_08282019.qgd,mar4,08282019,qgd,,,,,,,250624637,2,,,,,,
,mar5_08282019.qgd,mar5,08282019,qgd,,,,,,,239006273,2,,,,,,
,mar6_08282019.qgd,mar6,08282019,qgd,,,,,,,226559190,2,,,,,,
,mar7_08282019.qgd,mar7,08282019,qgd,,,,,,,253899006,1,,,,,,
,mar8_08282019.qgd,mar8,08282019,qgd,,,,,,,218040372,2,,,,,,
,mar9_08282019.qgd,mar9,08282019,qgd,,,,,,,221090741,2,,,,,,
,mar10_08282019.qgd,mar10,08282019,qgd,,,,,,,286761410,1,,,,,,
,4011_08282019.qgd,4011,08282019,qgd,,,,,,,273906487,1,,,,,,
,4012_08282019.qgd,4012,08282019,qgd,,,,,,,252825341,1,,,,,,
,4013_08282019.qgd,4013,08282019,qgd,,,,,,,275938563,1,,,,,,
,4014_08282019.qgd,4014,08282019,qgd,,,,,,,279498344,1,,,,,,
,4015_08282019.qgd,4015,08282019,qgd,,,,,,,280436413,1,,,,,,
,4016_08282019.qgd,4016,08282019,qgd,,,,,,,261172480,1,,,,,,
,Blank_08292019am.qgd,Blank,08292019am,qgd,,,,,,,228359884,2,,,,,,
,4017_08292019am.qgd,4017,08292019am,qgd,,,,,,,242269649,2,,,,,,
,401air1_08292019am.qgd,401air1,08292019am,qgd,,,,,,,251130576,2,,,,,,
,401air2_08292019am.qgd,401air2,08292019am,qgd,,,,,,,262272796,2,,,,,,
,beetles_lerb_08292019am.qgd,beetles,lerb,08292019am,qgd,,,,,,285128316,2,,,,,,
,thrips_elk_08292019am.qgd,thrips,elk,08292019am,qgd,,,,,,321798588,2,,,,,,
,elkair1_08292019am.qgd,elkair1,08292019am,qgd,,,,,,,260547842,2,,,,,,
,elk1_08292019am.qgd,elk1,08292019am,qgd,,,,,,,344627752,1,,,,,,
,elk2_08292019am.qgd,elk2,08292019am,qgd,,,,,,,364614092,1,,,,,,
,elk3_08292019am.qgd,elk3,08292019am,qgd,,,,,,,360728168,1,,,,,,
,elk4_08292019am.qgd,elk4,08292019am,qgd,,,,,,,280936885,1,,,,,,
,elk5_08292019am.qgd,elk5,08292019am,qgd,,,,,,,312660729,1,,,,,,
,elk6_08292019am.qgd,elk6,08292019am,qgd,,,,,,,351267026,1,,,,,,
,elk7_08292019am.qgd,elk7,08292019am,qgd,,,,,,,339728958,1,,,,,,
,elk8_08292019am.qgd,elk8,08292019am,qgd,,,,,,,294985747,1,,,,,,
,mex1_08292019am.qgd,mex1,08292019am,qgd,,,,,,,483191873,1,,,,,,
,mex2_08292019am.qgd,mex2,08292019am,qgd,,,,,,,259384898,2,,,,,,
,mex3_08292019am.qgd,mex3,08292019am,qgd,,,,,,,259924784,2,,,,,,
,mex4_08292019am.qgd,mex4,08292019am,qgd,,,,,,,324823774,1,,,,,,
,mex5_08292019am.qgd,mex5,08292019am,qgd,,,,,,,265272271,1,,,,,,
,Blank_08292019pm.qgd,Blank,08292019pm,qgd,,,,,,,242002830,2,,,,,,
,mex6_08292019pm.qgd,mex6,08292019pm,qgd,,,,,,,354287880,1,,,,,,
,mexair1_08292019pm.qgd,mexair1,08292019pm,qgd,,,,,,,288025723,1,,,,,,
,lerbair2_08292019pm.qgd,lerbair2,08292019pm,qgd,,,,,,,274158413,2,,,,,,
,lerb4_08292019pm.qgd,lerb4,08292019pm,qgd,,,,,,,332622001,1,,,,,,
,lerb5_08292019pm.qgd,lerb5,08292019pm,qgd,,,,,,,262785818,1,,,,,,
,lerb6_08292019pm.qgd,lerb6,08292019pm,qgd,,,,,,,255709571,2,,,,,,
,bwbair1_08292019pm.qgd,bwbair1,08292019pm,qgd,,,,,,,271477558,2,,,,,,
,bwb1_08292019pm.qgd,bwb1,08292019pm,qgd,,,,,,,291514775,1,,,,,,
,bwb2_08292019pm.qgd,bwb2,08292019pm,qgd,,,,,,,304321883,1,,,,,,
,bwb3_08292019pm.qgd,bwb3,08292019pm,qgd,,,,,,,239426444,1,,,,,,
,bwb4_08292019pm.qgd,bwb4,08292019pm,qgd,,,,,,,318845035,1,,,,,,
,bwb5_08292019pm.qgd,bwb5,08292019pm,qgd,,,,,,,330860206,1,,,,,,
,bwb6_08292019pm.qgd,bwb6,08292019pm,qgd,,,,,,,297309929,1,,,,,,
,bwb7_08292019pm.qgd,bwb7,08292019pm,qgd,,,,,,,263156477,1,,,,,,
,bwb8_08292019pm.qgd,bwb8,08292019pm,qgd,,,,,,,302370518,1,,,,,,
,bwb9_08292019pm.qgd,bwb9,08292019pm,qgd,,,,,,,396153179,1,,,,,,
,ypoair1_08292019pm.qgd,ypoair1,08292019pm,qgd,,,,,,,242157896,2,,,,,,
