index	FileName	fn1	fn2	fn3	fn4	fn5	fn6	fn7	fn8	sample	rowSum	Cluster	redos	type	pop	sample_year	plant	scented	rundate	GCn	renamed
1226	Lupinus_eml_20_air_1_8132021_01.qgd	Lupinus	eml	20	air	1	8132021	1	qgd	Lupinus_eml_20_air_1_8132021_01	95395124	7		ambient	eml	20	1		8132021	1	
1227	Lupinus_npb_20_1_8132021_02.qgd	Lupinus	npb	20	1	8132021	2	qgd		Lupinus_eml_20_air_1_8132021_01	210315547	6	dupe	ambient	eml	20	1		8132021	1	renamed
1228	Lupinus_eml_20_1_8132021_03.qgd	Lupinus	eml	20	1	8132021	3	qgd		Lupinus_npb_20_1_8132021_02	22722675	7		floral	npb	20	1	1	8132021	2	renamed
1229	Lupinus_eml_20_2_8132021_04.qgd	Lupinus	eml	20	2	8132021	4	qgd		Lupinus_eml_20_1_8132021_03	1092327589	5		floral	eml	20	1	1	8132021	3	renamed
1230	Lupinus_chs_20_2_8132021_05.qgd	Lupinus	chs	20	2	8132021	5	qgd		Lupinus_eml_20_2_8132021_04	912897515	5		floral	eml	20	2	0	8132021	4	renamed
1231	Lupinus_chs_20_air_1_8132021_06.qgd	Lupinus	chs	20	air	1	8132021	6	qgd	Lupinus_chs_20_2_8132021_05	882571336	5		floral	chs	20	2	1	8132021	5	renamed
1232	Lupinus_chs_20_4_8132021_07.qgd	Lupinus	chs	20	4	8132021	7	qgd		Lupinus_chs_20_air_1_8132021_06	131816926	6		ambient	chs	20	1		8132021	6	renamed
1233	Lupinus_chs_20_1_8132021_08.qgd	Lupinus	chs	20	1	8132021	8	qgd		Lupinus_chs_20_4_8132021_07	921837634	5		floral	chs	20	4	1	8132021	7	renamed
1234	Lupinus_chs_20_3_8132021_09.qgd	Lupinus	chs	20	3	8132021	9	qgd		Lupinus_chs_20_1_8132021_08	1068206050	5		floral	chs	20	1	0	8132021	8	renamed
1235	Lupinus_bvb_20_5_8132021_10.qgd	Lupinus	bvb	20	5	8132021	10	qgd		Lupinus_chs_20_3_8132021_09	234652199	6		floral	chs	20	3	0	8132021	9	renamed
1236	Lupinus_bvb_20_4_8132021_11.qgd	Lupinus	bvb	20	4	8132021	11	qgd		Lupinus_bvb_20_5_8132021_10	142465957	6		floral	bvb	20	5	0	8132021	10	renamed
1237	Lupinus_bvb_20_9_8132021_12.qgd	Lupinus	bvb	20	9	8132021	12	qgd		Lupinus_bvb_20_4_8132021_11	916929498	5		floral	bvb	20	4	0	8132021	11	renamed
1238	Lupinus_bvb_20_8_8132021_13.qgd	Lupinus	bvb	20	8	8132021	13	qgd		Lupinus_bvb_20_9_8132021_12	836928815	5		floral	bvb	20	9	1	8132021	12	renamed
1239	Lupinus_bvb_20_7_8132021_14.qgd	Lupinus	bvb	20	7	8132021	14	qgd		Lupinus_bvb_20_8_8132021_13	227437178	6		floral	bvb	20	8	0	8132021	13	renamed
1240	Lupinus_lerb_20_9_8132021_15.qgd	Lupinus	lerb	20	9	8132021	15	qgd		Lupinus_bvb_20_7_8132021_14	1077963970	5		floral	bvb	20	7	1	8132021	14	renamed
1241	Lupinus_lerb_20_8_8132021_16.qgd	Lupinus	lerb	20	8	8132021	16	qgd		Lupinus_lerb_20_9_8132021_15	167442255	6	last	floral	lerb	20	9	0	8132021	15	renamed
1242	Lupinus_brc_20_8_8132021_17.qgd	Lupinus	brc	20	8	8132021	17	qgd		Lupinus_lerb_20_8_8132021_16	1180013186	5		floral	lerb	20	8	0	8132021	16	renamed
1243	Lupinus_lerb_20_2_8132021_18.qgd	Lupinus	lerb	20	2	8132021	18	qgd		Lupinus_brc_20_8_8132021_17	774020323	5		floral	brc	20	8	0	8132021	17	renamed
1244	Lupinus_brc_20_air_1_8132021_19.qgd	Lupinus	brc	20	air	1	8132021	19	qgd	Lupinus_lerb_20_2_8132021_18	475721609	5		floral	lerb	20	2	0	8132021	18	renamed
1245	Lupinus_brc_20_2_8132021_20.qgd	Lupinus	brc	20	2	8132021	20	qgd		Lupinus_brc_20_air_1_8132021_19	141781765	6	last	ambient	brc	20	1		8132021	19	renamed
1247	Lupinus_lerb_20_4_8142021_02.qgd	Lupinus	lerb	20	4	8142021	2	qgd		Lupinus_lerb_20_4_8142021_02	141588233	6		floral	lerb	20	4	0	8142021	2	
1248	Lupinus_npb_20_1_8142021_03.qgd	Lupinus	npb	20	1	8142021	3	qgd		Lupinus_npb_20_1_8142021_03	1118317153	5	last	floral	npb	20	1	1	8142021	3	
1249	Lupinus_lerb_20_5_8142021_04.qgd	Lupinus	lerb	20	5	8142021	4	qgd		Lupinus_lerb_20_5_8142021_04	836595576	5		floral	lerb	20	5	0	8142021	4	
1250	Lupinus_brc_20_3_8142021_05.qgd	Lupinus	brc	20	3	8142021	5	qgd		Lupinus_brc_20_3_8142021_05	203403596	6		floral	brc	20	3	0	8142021	5	
1251	Lupinus_brc_20_4_8142021_06.qgd	Lupinus	brc	20	4	8142021	6	qgd		Lupinus_brc_20_4_8142021_06	166855402	6		floral	brc	20	4	0	8142021	6	
1560	Lupinus_npb_20_6_8112021_19.qgd	Lupinus	npb	20	6	8112021	19	qgd		Lupinus_npb_20_6_8112021_19	784295020	5		floral	npb	20	6	1	8112021	19	
	Lupine1Aug3L_08252017.qgd	Lupine1Aug3L	8252017	qgd							407340100	4		floral	gth	17	1	0	8252017		
	Lupine2Aug3L_08252017.qgd	Lupine2Aug3L	8252017	qgd							534248886	4		floral	gth	17	2	0	8252017		
	LupineR1Aug20_08252017.qgd	LupineR1Aug20	8252017	qgd							309655604	4		floral	npb	17	1	1	8252017		
	LupineR2Aug20redo_08252017.qgd	LupineR2Aug20redo	8252017	qgd							262082968	4		floral	npb	17	2	1	8252017		
	LupineR3Aug20_08252017.qgd	LupineR3Aug20	8252017	qgd							255559175	4		floral	npb	17	3	1	8252017		
	LupineR4Aug20_08252017.qgd	LupineR4Aug20	8252017	qgd							299516729	4		floral	npb	17	4	1	8252017		
	Lupine3Aug3_08252017.qgd	Lupine3Aug3	8252017	qgd							320152258	4		floral	gth	17	3	0	8252017		
	Lupine4Aug3_08252017.qgd	Lupine4Aug3	8252017	qgd							363002139	4		floral	gth	17	4	0	8252017		
	Lupine5Aug3L_08262017.qgd	Lupine5Aug3L	8262017	qgd							246343902	4		floral	gth	17	5	0	8262017		
	Blank_08202018.qgd	Blank	8202018	qgd							323974268	7		blank		18			8202018		
	AirBellNAug16_08202018.qgd	AirBellNAug16	8202018	qgd							69893678	3		ambient	BellN	18			8202018		
