index	FileName	scented	fn1	fn2	fn3	fn4	fn5	fn6	fn7	fn8	sample	rowSum	Cluster	type	pop	sample_year	plant	rundate	GCn
1223	Lupinus_lerb_20_8_8122021_18.qgd		Lupinus	lerb	20	8	8122021	18	qgd		Lupinus_lerb_20_8_8122021_18	702997578	5	floral	lerb	20	8	8122021	18
1224	Lupinus_lerb_20_air_1_8122021_19.qgd		Lupinus	lerb	20	air	1	8122021	19	qgd	Lupinus_lerb_20_air_1_8122021_19	778423075	5	ambient	lerb	20	1	8122021	19
1225	Lupinus_brc_20_2_8122021_20.qgd		Lupinus	brc	20	2	8122021	20	qgd		Lupinus_brc_20_2_8122021_20	982125123	5	floral	brc	20	2	8122021	20
1226	Lupinus_eml_20_air_1_8132021_01.qgd		Lupinus	eml	20	air	1	8132021	1	qgd	Lupinus_eml_20_air_1_8132021_01	95395124	7	ambient	eml	20	1	8132021	1
1227	Lupinus_npb_20_1_8132021_02.qgd		Lupinus	npb	20	1	8132021	2	qgd		Lupinus_eml_20_air_1_8132021_01	210315547	6	ambient	eml	20	1	8132021	1
1228	Lupinus_eml_20_1_8132021_03.qgd		Lupinus	eml	20	1	8132021	3	qgd		Lupinus_npb_20_1_8132021_02	22722675	7	floral	npb	20	1	8132021	2
1229	Lupinus_eml_20_2_8132021_04.qgd		Lupinus	eml	20	2	8132021	4	qgd		Lupinus_eml_20_1_8132021_03	1092327589	5	floral	eml	20	1	8132021	3
1230	Lupinus_chs_20_2_8132021_05.qgd		Lupinus	chs	20	2	8132021	5	qgd		Lupinus_eml_20_2_8132021_04	912897515	5	floral	eml	20	2	8132021	4
1231	Lupinus_chs_20_air_1_8132021_06.qgd		Lupinus	chs	20	air	1	8132021	6	qgd	Lupinus_chs_20_2_8132021_05	882571336	5	floral	chs	20	2	8132021	5
1232	Lupinus_chs_20_4_8132021_07.qgd		Lupinus	chs	20	4	8132021	7	qgd		Lupinus_chs_20_air_1_8132021_06	131816926	6	ambient	chs	20	1	8132021	6
1233	Lupinus_chs_20_1_8132021_08.qgd		Lupinus	chs	20	1	8132021	8	qgd		Lupinus_chs_20_4_8132021_07	921837634	5	floral	chs	20	4	8132021	7
1234	Lupinus_chs_20_3_8132021_09.qgd		Lupinus	chs	20	3	8132021	9	qgd		Lupinus_chs_20_1_8132021_08	1068206050	5	floral	chs	20	1	8132021	8
1235	Lupinus_bvb_20_5_8132021_10.qgd		Lupinus	bvb	20	5	8132021	10	qgd		Lupinus_chs_20_3_8132021_09	234652199	6	floral	chs	20	3	8132021	9
1236	Lupinus_bvb_20_4_8132021_11.qgd		Lupinus	bvb	20	4	8132021	11	qgd		Lupinus_bvb_20_5_8132021_10	142465957	6	floral	bvb	20	5	8132021	10
1237	Lupinus_bvb_20_9_8132021_12.qgd		Lupinus	bvb	20	9	8132021	12	qgd		Lupinus_bvb_20_4_8132021_11	916929498	5	floral	bvb	20	4	8132021	11
1238	Lupinus_bvb_20_8_8132021_13.qgd		Lupinus	bvb	20	8	8132021	13	qgd		Lupinus_bvb_20_9_8132021_12	836928815	5	floral	bvb	20	9	8132021	12
1239	Lupinus_bvb_20_7_8132021_14.qgd		Lupinus	bvb	20	7	8132021	14	qgd		Lupinus_bvb_20_8_8132021_13	227437178	6	floral	bvb	20	8	8132021	13
1240	Lupinus_lerb_20_9_8132021_15.qgd		Lupinus	lerb	20	9	8132021	15	qgd		Lupinus_bvb_20_7_8132021_14	1077963970	5	floral	bvb	20	7	8132021	14
1241	Lupinus_lerb_20_8_8132021_16.qgd		Lupinus	lerb	20	8	8132021	16	qgd		Lupinus_lerb_20_9_8132021_15	167442255	6	floral	lerb	20	9	8132021	15
1242	Lupinus_brc_20_8_8132021_17.qgd		Lupinus	brc	20	8	8132021	17	qgd		Lupinus_lerb_20_8_8132021_16	1180013186	5	floral	lerb	20	8	8132021	16
1243	Lupinus_lerb_20_2_8132021_18.qgd		Lupinus	lerb	20	2	8132021	18	qgd		Lupinus_brc_20_8_8132021_17	774020323	5	floral	brc	20	8	8132021	17
1244	Lupinus_brc_20_air_1_8132021_19.qgd		Lupinus	brc	20	air	1	8132021	19	qgd	Lupinus_lerb_20_2_8132021_18	475721609	5	floral	lerb	20	2	8132021	18
1245	Lupinus_brc_20_2_8132021_20.qgd		Lupinus	brc	20	2	8132021	20	qgd		Lupinus_brc_20_air_1_8132021_19	141781765	6	ambient	brc	20	1	8132021	19
1247	Lupinus_lerb_20_4_8142021_02.qgd		Lupinus	lerb	20	4	8142021	2	qgd		Lupinus_lerb_20_4_8142021_02	141588233	6	floral	lerb	20	4	8142021	2
1248	Lupinus_npb_20_1_8142021_03.qgd		Lupinus	npb	20	1	8142021	3	qgd		Lupinus_npb_20_1_8142021_03	1118317153	5	floral	npb	20	1	8142021	3
1249	Lupinus_lerb_20_5_8142021_04.qgd		Lupinus	lerb	20	5	8142021	4	qgd		Lupinus_lerb_20_5_8142021_04	836595576	5	floral	lerb	20	5	8142021	4
1250	Lupinus_brc_20_3_8142021_05.qgd		Lupinus	brc	20	3	8142021	5	qgd		Lupinus_brc_20_3_8142021_05	203403596	6	floral	brc	20	3	8142021	5
1251	Lupinus_brc_20_4_8142021_06.qgd		Lupinus	brc	20	4	8142021	6	qgd		Lupinus_brc_20_4_8142021_06	166855402	6	floral	brc	20	4	8142021	6
1560	Lupinus_npb_20_6_8112021_19.qgd		Lupinus	npb	20	6	8112021	19	qgd		Lupinus_npb_20_6_8112021_19	784295020	5	floral	npb	20	6	8112021	19
	Lupine1Aug3L_08252017.qgd	0	Lupine1Aug3L	8252017	qgd							407340100	4	floral	gth	17	1	8252017	
	Lupine2Aug3L_08252017.qgd	0	Lupine2Aug3L	8252017	qgd							534248886	4	floral	gth	17	2	8252017	
	LupineR1Aug20_08252017.qgd	1	LupineR1Aug20	8252017	qgd							309655604	4	floral	npb	17	1	8252017	
	LupineR2Aug20redo_08252017.qgd	1	LupineR2Aug20redo	8252017	qgd							262082968	4	floral	npb	17	2	8252017	
	LupineR3Aug20_08252017.qgd	1	LupineR3Aug20	8252017	qgd							255559175	4	floral	npb	17	3	8252017	
	LupineR4Aug20_08252017.qgd	1	LupineR4Aug20	8252017	qgd							299516729	4	floral	npb	17	4	8252017	
	Lupine3Aug3_08252017.qgd	0	Lupine3Aug3	8252017	qgd							320152258	4	floral	gth	17	3	8252017	
	Lupine4Aug3_08252017.qgd	0	Lupine4Aug3	8252017	qgd							363002139	4	floral	gth	17	4	8252017	
	Lupine5Aug3L_08262017.qgd	0	Lupine5Aug3L	8262017	qgd							246343902	4	floral	gth	17	5	8262017	
	Blank_08202018.qgd		Blank	8202018	qgd							323974268	7	blank	BellN	18		8202018	
	AirBellNAug16_08202018.qgd		AirBellNAug16	8202018	qgd							69893678	3	ambient	BellN	18		8202018	
	BellNLeaf38Aug16_08202018.qgd		BellNLeaf38Aug16	8202018	qgd							76209750	3	leaf	BellN	18		8202018	
	BellNLeaf40Aug16_08202018.qgd		BellNLeaf40Aug16	8202018	qgd							38232514	3	leaf	BellN	18	38	8202018	
	BellNFlr40Aug16_08202018.qgd		BellNFlr40Aug16	8202018	qgd							83207532	3	floral	BellN	18	40	8202018	
	BellNFlr35Aug16_08202018.qgd		BellNFlr35Aug16	8202018	qgd							109308775	3	floral	BellN	18	35	8202018	
	BellNFlr30Aug16_08202018.qgd		BellNFlr30Aug16	8202018	qgd							120118764	3	floral	BellN	18	30	8202018	
	BellNFlr38Aug16_08202018.qgd		BellNFlr38Aug16	8202018	qgd							91163699	3	floral	BellN	18	38	8202018	
	BellNFlr31Aug16_08202018.qgd		BellNFlr31Aug16	8202018	qgd							43371296	3	floral	BellN	18	31	8202018	
	BellNFlr34Aug16_08202018.qgd		BellNFlr34Aug16	8202018	qgd							62908427	3	floral	BellN	18	34	8202018	
	BellNFlr33Aug16_08202018.qgd		BellNFlr33Aug16	8202018	qgd							71407237	3	floral	BellN	18	33	8202018	
	BellNFlr42Aug16_08202018.qgd		BellNFlr42Aug16	8202018	qgd							60811245	3	floral	BellN	18	42	8202018	
	BellNFlr39Aug16_08202018.qgd		BellNFlr39Aug16	8202018	qgd							71181434	3	floral	BellN	18	39	8202018	
	BellNFlr32Aug16_08202018.qgd		BellNFlr32Aug16	8202018	qgd							134085336	3	floral	BellN	18	32	8202018	
	BellNBeetleAug16_08202018.qgd		BellNBeetleAug16	8202018	qgd							67065877	3	insect	BellN	18		8202018	
	AirBellNAug18_08202018.qgd		AirBellNAug18	8202018	qgd							53428368	3	ambient	BellN	18		8202018	
	BellNFlr29Aug18_08202018.qgd		BellNFlr29Aug18	8202018	qgd							74297839	3	floral	BellN	18	29	8202018	
	BellNFlr27Aug18_08202018.qgd		BellNFlr27Aug18	8202018	qgd							70567854	3	floral	BellN	18	27	8202018	
	BellNFlr44Aug18_08202018.qgd		BellNFlr44Aug18	8202018	qgd							100185167	3	floral	BellN	18	44	8202018	
	Blank_08212018.qgd		Blank	8212018	qgd							164567224	7	blank		18		8212018	
	BellNFlr45Aug18retry_08212018.qgd		BellNFlr45Aug18retry	8212018	qgd							118894078	3	floral	BellN	18	45	8212018	
	BellNFlr46Aug18_08212018.qgd		BellNFlr46Aug18	8212018	qgd							90780177	3	floral	BellN	18	46	8212018	
	BellNFlr48Aug18_08212018.qgd		BellNFlr48Aug18	8212018	qgd							86904735	3	floral	BellN	18	48	8212018	
	BellNBeetleAug18_08212018.qgd		BellNBeetleAug18	8212018	qgd							99748572	3	insect	BellN	18		8212018	
	Blank_08282019.qgd		Blank	8282019	qgd							227880126	2	blank		19		8282019	
	ERB1_08282019.qgd	0	ERB1	8282019	qgd							295391244	2	floral	erb	19	1	8282019	
	ERB2_08282019.qgd	0	ERB2	8282019	qgd							317139516	2	floral	erb	19	2	8282019	
	ERB3_08282019.qgd	0	ERB3	8282019	qgd							321210783	2	floral	erb	19	3	8282019	
	ERB4_08282019.qgd	0	ERB4	8282019	qgd							260984412	2	floral	erb	19	4	8282019	
	ERB5_08282019.qgd	0	ERB5	8282019	qgd							298732862	2	floral	erb	19	5	8282019	
	ERB6_08282019.qgd	0	ERB6	8282019	qgd							259316290	2	floral	erb	19	6	8282019	
	ERB7_08282019.qgd	0	ERB7	8282019	qgd							298763853	2	floral	erb	19	7	8282019	
	ERB8_08282019.qgd	0	ERB8	8282019	qgd							279390326	2	floral	erb	19	8	8282019	
	ERBAIR1_08282019.qgd		ERBAIR1	8282019	qgd							278465712	2	ambient	erb	19	1	8282019	
	ERBAIR2_08282019.qgd		ERBAIR2	8282019	qgd							272472779	2	ambient	erb	19	2	8282019	
	ERB9_08282019.qgd	0	ERB9	8282019	qgd							288998401	2	floral	lerb	19	9	8282019	
	LERB1_08282019.qgd	0	LERB1	8282019	qgd							336983828	2	floral	lerb	19	1	8282019	
	LERBAIR1_08282019.qgd		LERBAIR1	8282019	qgd							295441772	2	ambient	lerb	19	1	8282019	
	LERB2_08282019.qgd	0	LERB2	8282019	qgd							290386790	2	floral	lerb	19	2	8282019	
	LERB3_08282019.qgd	0	LERB3	8282019	qgd							281444383	2	floral	lerb	19	3	8282019	
	BVB1_08282019.qgd	0	BVB1	8282019	qgd							278598109	1	floral	bvb	19	1	8282019	
	BVB2_08282019.qgd	1	BVB2	8282019	qgd							302591926	1	floral	bvb	19	2	8282019	
	BVB3_08282019.qgd	0	BVB3	8282019	qgd							258804306	2	floral	bvb	19	3	8282019	
	BVB4_08282019.qgd	1	BVB4	8282019	qgd							265873609	1	floral	bvb	19	4	8282019	
	bbair1_08282019.qgd		bbair1	8282019	qgd							223516777	2	ambient	bvb	19	1	8282019	
	marair1_08282019.qgd		marair1	8282019	qgd							271401372	2	ambient	mar	19	1	8282019	
	marair2_08282019.qgd		marair2	8282019	qgd							274754284	2	ambient	mar	19	1	8282019	
	mar1_08282019.qgd	0	Mar1	8282019	qgd							313926289	1	floral	mar	19	1	8282019	
	mar2_08282019.qgd	0	Mar2	8282019	qgd							256815305	2	floral	mar	19	2	8282019	
	mar3_08282019.qgd	0	Mar3	8282019	qgd							275678566	1	floral	mar	19	3	8282019	
	mar4_08282019.qgd	0	Mar4	8282019	qgd							250624637	2	floral	mar	19	4	8282019	
	mar5_08282019.qgd	0	Mar5	8282019	qgd							239006273	2	floral	mar	19	5	8282019	
	mar6_08282019.qgd	0	Mar6	8282019	qgd							226559190	2	floral	mar	19	6	8282019	
	mar7_08282019.qgd	0	Mar7	8282019	qgd							253899006	1	floral	mar	19	7	8282019	
	mar8_08282019.qgd	0	Mar8	8282019	qgd							218040372	2	floral	mar	19	8	8282019	
	mar9_08282019.qgd	0	Mar9	8282019	qgd							221090741	2	floral	mar	19	9	8282019	
	mar10_08282019.qgd	0	Mar10	8282019	qgd							286761410	1	floral	mar	19	10	8282019	
	4011_08282019.qgd	0	4011	8282019	qgd							273906487	1	floral	401	19	1	8282019	
	4012_08282019.qgd	0	4012	8282019	qgd							252825341	1	floral	401	19	2	8282019	
	4013_08282019.qgd	0	4013	8282019	qgd							275938563	1	floral	401	19	3	8282019	
	4014_08282019.qgd	1	4014	8282019	qgd							279498344	1	floral	401	19	4	8282019	
	4015_08282019.qgd	0	4015	8282019	qgd							280436413	1	floral	401	19	5	8282019	
	4016_08282019.qgd	1	4016	8282019	qgd							261172480	1	floral	401	19	6	8282019	
	Blank_08292019am.qgd		Blank	08292019am	qgd							228359884	2	blank		19		8292019	
	4017_08292019am.qgd	1	4017	08292019am	qgd							242269649	2	floral	401	19	7	8292019	
	401air1_08292019am.qgd		401air1	08292019am	qgd							251130576	2	ambient	401	19	1	8292019	
	401air2_08292019am.qgd		401air2	08292019am	qgd							262272796	2	ambient	401	19	2	8292019	
	beetles_lerb_08292019am.qgd		beetles	lerb	08292019am	qgd						285128316	2	insect	lerb	19		8292019	
	thrips_elk_08292019am.qgd		thrips	elk	08292019am	qgd						321798588	2	insect	elk	19		8292019	
	elkair1_08292019am.qgd		elkair1	08292019am	qgd							260547842	2	ambient	elk	19	1	8292019	
	elk1_08292019am.qgd	1	elk1	08292019am	qgd							344627752	1	floral	elk	19	1	8292019	
	elk2_08292019am.qgd	1	elk2	08292019am	qgd							364614092	1	floral	elk	19	2	8292019	
	elk3_08292019am.qgd	1	elk3	08292019am	qgd							360728168	1	floral	elk	19	3	8292019	
	elk4_08292019am.qgd	1	elk4	08292019am	qgd							280936885	1	floral	elk	19	4	8292019	
	elk5_08292019am.qgd	1	elk5	08292019am	qgd							312660729	1	floral	elk	19	5	8292019	
	elk6_08292019am.qgd	1	elk6	08292019am	qgd							351267026	1	floral	elk	19	6	8292019	
	elk7_08292019am.qgd	1	elk7	08292019am	qgd							339728958	1	floral	elk	19	7	8292019	
	elk8_08292019am.qgd	1	elk8	08292019am	qgd							294985747	1	floral	elk	19	8	8292019	
	mex1_08292019am.qgd	1	mex1	08292019am	qgd							483191873	1	floral	mex	19	1	8292019	
	mex2_08292019am.qgd	0	mex2	08292019am	qgd							259384898	2	floral	mex	19	2	8292019	
	mex3_08292019am.qgd	0	mex3	08292019am	qgd							259924784	2	floral	mex	19	3	8292019	
	mex4_08292019am.qgd	1	mex4	08292019am	qgd							324823774	1	floral	mex	19	4	8292019	
	mex5_08292019am.qgd	0	mex5	08292019am	qgd							265272271	1	floral	mex	19	5	8292019	
	Blank_08292019pm.qgd		Blank	08292019pm	qgd							242002830	2	blank		19		8292019	
